License_number,Car_Year_of_Manufacture,Model_Code,Other_Car_Details,Current_Mileage,Engine_Size,Customer_Id
30184,-2039922216,309904597,L7J,50,-1696111197,117
30210,-991755882,1823412210,HFJDH0ZZDSB,33,1589965896,524
30212,562120215,1972838605,70,57,,187
30362,-2026860727,-1306583663,ZCAO7NHC5RVNEK6II,30,2068002349,183
30458,-1167853959,-1496492636,R,60,-577792087,382
30657,1996235635,-1597728661,6QK97X4J126,47,847550451,500
30720,-289263232,1372184698,0I,27,319889542,824
30780,1193745974,1928210646,4ZBL74J5U6ENEYIWT2,,-902668740,328
30812,-1739765617,1342418014,J486N,47,-448014943,96
30831,2112894960,-1268578317,0,38,-463961376,981
30879,382455036,446203510,1T6,51,-27145057,410
31116,-1788206936,-1064952165,6GYF80F,46,1389344819,491
31133,32185407,-934468183,MFUSNGTG9ZCCT,46,925159911,703
31364,-2078841683,1420907956,BN0ACA,54,2138222086,755
31437,-971596924,1616611934,,46,1053895916,204
31515,-1227327550,-1034707468,TBJQ8Z3K4IPP8UT8LSW,62,1195906303,631
31534,-1514454579,-1858585466,TNY99A6,19,1865628402,87
31987,-1937102770,1111055056,8L0ISEP,25,101292517,36
32133,-999638573,-1818786686,S0XF5,34,-529481071,30
32225,-1308454645,918477833,RD9BJ467F67XZ,60,-2044759389,812
32719,-690005619,1128214090,BC9WTS,64,-21529676,766
32833,1002509071,-333172377,677L1XW1VD,27,-394226492,965
32952,-1851932009,-371517703,F3C8,50,611322621,411
33056,-1365067971,1626289516,EWO6ZNKEPERR35XX,60,-1248590876,557
33061,-556181212,194251038,W,55,1433089931,205
33261,425045971,-2133904652,4P,33,-641372647,243
33277,402801745,327101222,9KA5IDBIKAH0XO,32,-1165007099,256
33428,1989448802,-971943853,D9MOTKTLDEC9RN,58,365320578,665
33579,-174154504,1279216563,BMUD95U0P,30,364276201,690
33581,1280860871,-896113712,37,41,-1327242252,503
34021,1380173750,-680729355,66R,44,-1950654128,560
34054,800976644,737209500,JSDJKXJYU6CXJKF6M,61,1029937073,84
34175,1420912315,765730696,TUG29M,32,-627943305,751
34274,697094658,406430805,4ZCNDGK86TYS9S,22,1914816117,991
34383,-690475712,-1198559807,5H4ZSHDOYHRFN44,35,-98646168,811
34803,2090163393,913978729,CPCDXB0DZ1NK98TB,59,1057531903,782
34824,-828316480,-258238291,ZCN9MLI5Y0DB,52,-933915627,445
34991,-897737824,-1370269335,DLJQPD0TORJQMNWUXKD,37,-1866108280,314
35173,1578560601,1405286636,POTOYD2PFYTE,54,-621134434,858
35222,761057441,-2023945815,,43,1565800000,127
35450,-877360838,-39713081,,63,129504218,688
35496,15339760,413229155,LFVV8VQ0AXJL9GPT,26,549645641,814
35768,-1716530063,-154694267,M8AMCX9P4O,28,457825396,172
35772,-1516530848,-350674300,XMS3OCHSARHEGHC,20,755590482,431
35785,157430430,134849815,L,35,-2140192518,476
35847,1677955356,-984620779,OKEY31,37,1651067997,191
35919,-95006077,-991089200,4L3Q8CKUE,20,38575871,555
36065,670196970,642602228,UBNCGQFTXY87CM3JZ8QH,54,-1542741170,190
36084,975593999,1255990616,Q2SPOU3QOR,49,-2001884655,908
36125,-788239817,-1949866676,L,50,2134489592,932
36241,-460425909,-250777840,9IWF79ZVIKV9S35V,22,-798304229,871
36278,383826125,1061206002,W7VX0LT8EHM75MES,64,-428894994,919
36350,1959021229,-788927806,6T0WQXOTRS6NVK7L,26,2096969758,525
36384,-1660553639,-1514428732,D34QJ5E4818WV5NS2C,27,535570342,628
36869,26559154,1203423171,TVTCQ,50,-1197826881,854
37181,1907743516,-2077630573,UBGY5PH,55,-877160536,189
37198,1510609821,-467813959,YSM9YENZ7P9UJ1Y,59,1138335677,842
37444,-255137440,-1914095583,IQLGG,27,,685
37479,-1137625695,-885188299,UUHQL7M7MEYGO,47,-1157695633,541
37585,-571322485,2047633291,SZRXU6FBWOOE,59,-1607081194,729
37668,-289975239,338862249,LCOGEZQUWIEG,50,-969317166,659
37892,-68197247,-1641548234,5Q85,54,662649847,250
37902,-521226486,-1705772800,UR4Q71IM9,37,2101341266,150
38147,538917510,1646858457,IZW7EJ7PS8942Q1,27,685104962,62
38358,-1541506784,1529695328,RHG2LKC6S,36,1976125608,738
38381,945816569,-1615143329,B93PBUTGK9ZJJU7LNZ,49,712968284,407
38478,-609478810,1703911270,GG2JVNH,22,702215608,79
38669,-1188276656,-348566232,AGQMHQTVA7O1W82,47,1929175618,956
38735,-2133812175,1847849833,EAMX7L3ORWLKW8BBFHVZ,51,-176623065,90
38791,-1747311345,-192814874,,40,-1389962712,47
38823,-2045201822,-1595682273,NQ00H9KZ7F5TXRZ,61,2137912584,743
38827,697177015,754674624,V0TO0NJ01,22,103787277,855
38929,-68782247,-762680850,C7JVF,42,1826731289,83
39010,-948388627,327694699,WLGYIJ4IUYI23M1HGMIE,38,-1376197937,389
39099,-1070906123,1152142171,AB3R8TWMVGXXLBZO0,63,-1068775542,693
39118,723518106,463990831,PCOUSX857N374NF659,51,-320544792,704
39186,1741612653,-126177852,,59,2107505999,81
39232,1033304863,1947464932,3L0IIF2RV47F6GCEKD7Y,18,1420655064,996
39327,1732387621,367913215,0ZW1YSI9RWRMVQ1,59,-133916803,422
39355,-375991673,895159033,7H17NLT6Z80P6X6J,47,,833
39664,-401745252,-1225795994,6CD07226KBPU30MRYMN3,56,-614868538,594
39703,-2006701720,760693087,,53,-2132267090,59
39872,271599800,1285161644,,31,-1760600877,960
39883,-558761963,-1195188429,F2WNL0BMXI8II3J3,43,-3816323,404
39940,359366609,61661935,4HRS5GY11GQ1H1ML2,57,-994143857,804
39966,-45550928,-1978815400,VMDZ3JM56B8KFKUD,24,-763176376,501
40372,,1532058982,VWN,63,693826298,900
40428,-1327423302,-761472970,ELFBMYR8GFVU8YGDLX9P,29,1506233862,599
40436,-667314147,-1617437523,,46,1876090335,220
40480,-472185835,1705662556,OFSF89QKQZR69IPJMN4I,33,-2082378169,7
40681,-1252114448,-901435973,MZVF17DVQ28M02,64,1692562061,33
40937,1310694205,-971047735,KIKDAE,38,-1323312893,130
40988,-973830480,887876118,D,24,867628226,975
40990,310102599,-991089200,KOY4XN3BTDYRQ,63,542635447,10
41000,416109118,-100306402,OAIF3XVY4EC2VXINPJGW,62,53228204,53
41101,314352504,-761472970,UM,21,1400928898,357
41419,-648884692,-560528093,YR8KY8TKJ27C,38,753039125,414
41440,-193396377,327101222,5,27,-1485827149,942
41465,867305927,619162226,RHZZJ,44,-1989218073,158
41545,-1612900529,-359698639,FKZJAUKHKJP,59,-713060193,695
41682,1507356350,-1888836312,W6ORG8AOXOCN,27,1581710124,171
41730,-1783113043,-764839000,M,55,-2016182961,986
41734,-874621550,669722552,,21,392708812,523
41823,-1415162435,-343240652,RGJLW83,24,-2129417037,266
41870,1609224914,637741296,VLYH,45,176901042,230
41905,663976521,698109248,N0HQBYYKCCXE9L5TCI,31,561357657,341
41957,-1789711918,-919235273,ZPBW1NCRJSWH,40,-652572145,750
41978,1444626365,1600202288,S76QQESREP,57,-582148992,950
42022,431543711,-1772429905,921P0DIRDBQ6,50,922326392,129
42101,-1947788755,-1949867213,6UDZ01O,39,476114357,441
42204,1243168403,-1004103014,456M9,29,1022477745,355
42514,1887959316,-1228852575,,39,127362853,174
42608,966318630,-1914102123,ROZ,26,,647
42633,-235572879,-817787482,M8S7WJEGRMS,59,-1356178566,20
42635,-816289762,-1787215752,5DKW7H4OSJ,60,-1820968161,780
42723,1517585226,1269748951,SCLMO,23,-2081534364,773
42744,-1454513421,-1034707468,7DDG9R1AE,53,-38899309,546
42785,1054737090,-1079744616,,52,673778521,911
42825,-818428417,2019090380,HFM2,44,-2025883588,160
42854,1892945064,-1259300445,O6C83FH8SRJOLSKBJ82,39,-935566084,945
42875,2074548964,892973221,3CC36NY,33,533255561,848
43174,1305127185,1808460819,GHTJPWGP5CC,31,1975876195,343
43248,1903146808,-2132289237,XOIMUYJE0BGQM9Z3D,62,-1251367122,925
43426,802242434,-990070860,EBTUKY3UT1HK972DNU0D,41,64646408,588
43455,1599362881,-83411777,FXUFUV,50,982117603,578
43468,1678842116,-1883120928,JPP,24,1581125428,830
43502,-1791280892,1753216270,RVKWGAH0FT121,46,1007124170,480
43517,1063614180,1032242460,JFENEBP5OROUD17ZGT,34,-2043872727,862
