Car_for_sale_Id,Manufacturer_Shortname,Model_Code,Other_Car_Details,Vehicle_Category_Code,Current_Mileage,Engine_Size,License_Number,Asking_Price,Date_Acquired,Registration_year
63,Dora735,1703584876,9LD6KU0F7ZN971S48G0,1587191318,44,YV8M5LAR9RYUFOB3ZE4M,84658,PL4URGLB856,1983-01-23 12:34:39.630000000,-679907674
64,Vickie976,1703657831,J7IUSQ8XVKOCPA0ZR,1588057819,40,1JMAY,21716,VSVB81PPDRFIXBKLSFSZ,2002-08-28 00:04:11.580000000,1008979718
65,Henry144,-1768201111,B,-1797416965,34,LX0EV,41312,,1975-02-15 03:32:31.350000000,1650802448
66,Dora678,1464200189,T832W,1336665675,63,SUI20,26187,ADK3IU0OWIEE34AKG3A,2007-12-08 19:08:26.800000000,307084242
67,Kenny688,-1392587464,XKXUB1ENI22IDT,-1506347310,54,VINFDQ9B0AO0,08472,3X5MWFV0,1971-10-01 05:15:56.640000000,-883855666
68,Angelo547,639217802,3JNBBKX1,484002296,21,UWAWBMB7TO,08544,SD70RHHR5,2000-03-29 10:00:00.030000000,793199588
69,Scot206,1428824925,CB5A,1279385786,37,9D3,71786,VPOUW3J8G,1959-05-14 19:20:12.460000000,-1790433393
70,Beverly935,-1163266738,A3FXITNZ19MX1,-1325317400,21,MTT1Z0843L5W0MQA8Z,53996,8ZOPFZC8Y62YZ5,1999-04-10 22:28:24.270000000,-2019480923
71,Ismael418,2146046023,YW8J,2144029462,22,1,09358,57DBMTSBKEUE29ID7F,1971-10-08 06:15:20.670000000,-1396836043
72,Bruce164,-62726946,3POGRLQZJ4,-318606911,44,IY6,89684,ATOILS,1986-03-06 14:31:16.120000000,2040104536
73,Lorraine077,674470323,ZW4A7YNLVZ,515457573,64,P61TT60M5P6,14880,8TYGWPJRRW5WTHFO4A,2003-03-08 09:27:36.930000000,-19869937
74,Melody134,955980526,3,779422898,26,M1HLS6B6QAL,39604,K9ZFSVJAU,1953-10-17 20:18:07.840000000,450149961
75,Charles53,1338568103,EPDI53W4RN,1199651656,37,DL9G2B4VNLAT7AAF59V,34083,HOSJIKZC4H5VBH,2011-12-24 09:22:53.540000000,1098941824
76,Lonnie863,-1707920322,NMNOCRT4VK9PTRJZ,-1768618914,49,J,81227,8BL7U4K7,1957-06-19 11:55:25.110000000,-1132884087
77,Zachary178,993987546,NOI5M61277UG8D8,823130537,41,MYF,54906,7U9D5KCFOGA7CDBXGBZS,1964-06-27 05:23:46.120000000,-1410627155
78,Angelo088,-1939293086,XNLAY836T8Y5ZKR,-1909533812,52,1BMZPFLYF8W,68767,PXHTKKY205WG,2015-06-03 09:26:19.410000000,-949375885
79,Sarah022,-1632598579,3MG3510F,-1640517825,46,KTKBT1RND,46316,CNAM,2011-07-09 06:33:12.680000000,258144328
80,Marie477,1733123666,M5KZNM61,1651055291,33,WV1GEOJKZA,59522,J5P6V7EWX99ESKFL,1965-08-26 17:35:17.340000000,-1294538429
81,Walter144,-1283033179,W3YPAFLBBE8,-1442580028,48,M9T8NWU79V2ILP2C80K7,49629,WSJL0ECNAD,2008-11-20 05:03:35.970000000,-1570130102
82,Katherine839,-121386685,2M,-336467721,24,2KFQ,79753,K0NNT,1986-03-25 13:48:22.490000000,958285159
83,Rose732,193826797,9DMX53VM6OC,-87536971,61,,82314,GNPJ29EOMOTMDC16UQ,2018-12-01 21:56:50.890000000,584597564
84,Larry93,-694560929,J66LR4INNNDC0ITPM7P,-954723422,20,0WEV8LJXKR265WF,37784,2MIQDILUOB,1994-03-22 12:37:40.590000000,546493598
85,Matthew13,769649992,I3QA09WC0,598519562,65,LTDGRCCAJE39KPDHON,07457,M,2002-11-19 22:03:38.030000000,139613626
86,Eileen572,-159355920,R1YC155SHS,-380088625,24,BUZ,73246,KO4RWYUI,2006-12-18 18:18:19.730000000,-1015752453
87,Joel673,1450180126,ZTLZ9WNA6,1320573408,48,W1R,83839,WEPJ1X1PD6X5QIXWC0,2004-05-27 02:26:32.090000000,2087225384
88,Craig589,-1804773690,ZYSKGGVKH75N6VCDOGOJ,-1836201333,38,K5TFBBXYLD,48383,FQCP272O79,1968-02-14 18:00:59,-2036216184
89,Daniel537,1292688566,PXZ,1146796774,40,HOK4BUI9DU,33588,WWZYP30THNSZYQ,2003-07-16 23:03:14.150000000,612336767
90,Jermaine327,1173098251,94AQD91UH,971988468,37,KHI24AM0HEZUR,76591,GT57UJ,1998-10-20 11:52:51.160000000,1056979622
91,Alfredo324,1852016718,25SL,1815652416,39,PYSXMRS4655RQOYDRE,82107,D,1961-01-25 14:50:26.980000000,-8943842
92,Rosemary895,-833057981,97ZKEB,-1069242604,40,6LCX87N,23672,DKPNBY8TF3905STTVII,1978-08-11 12:28:22.550000000,-1642062183
93,Tasha205,115054620,QNW76MN,-146267256,63,KV4IUSZLVQCQ3,89894,NRE,1966-07-29 08:32:35.300000000,-321821306
94,Karl304,711833272,91T06CLU4Y4TO398V,559552287,23,GBCXDKX1,32411,,1990-08-09 10:24:54.430000000,1949453642
95,Yolanda288,-663192802,Z9M,-925698789,62,MK6LJD1JQYF781NAZQ,29486,Q9J0EQYJXK4ED,1962-10-30 09:26:15.950000000,-1791837618
96,Marlene650,-846414012,CL7ME,-1089620101,24,3NFNKL50KBU3EJSIXO7,09154,IFZJUGOA0C,2012-03-02 08:57:29.150000000,-261523320
97,Wade074,1379431511,U52F7BI,1257678881,42,8T7MROD79PN,54145,Y1FJFM6RALPP,2001-01-01 11:50:49.350000000,2144193893
98,Ramona151,-1138808334,BRFCODUL9IYMENCBNDJI,-1319239155,18,TVYG6WMZECG7,66050,0CB,1954-11-25 18:04:43.200000000,-1101436309
99,Jane438,-1293307558,7TJYZZ,-1450438598,19,V0,68296,88PEI00EO7,1984-06-12 06:22:54.360000000,-1405117197
100,Stacie306,-1841792461,,-1858725549,25,GJQMSB,77088,HPG87MGPI,1977-12-22 04:46:05.260000000,1939538310
101,Denise129,-1916778927,OL,-1880939365,43,9GT,44676,,1988-06-25 22:53:00.260000000,-259042747
102,Steven158,858643491,K8W4FNL9VQBO,687116286,42,V8,82413,YYN3WTP5JH,1968-03-05 14:23:40.320000000,-584825698
103,Staci083,565580096,R87TQS,394168294,31,Q,49755,71SMZG0F5REM9L5GI,1997-03-03 13:33:18.960000000,-1981801237
104,Rene516,1816153902,R0C,1747062718,52,OG,36861,KNSHQ9QRF47OIO2CH,1984-07-27 22:42:31.740000000,-1922892694
105,Gavin692,-1944573800,YVDODVPLWK15Q7WZRA,-1917826141,25,JLCB0171VCZQWN,71228,GKNZP3UQKBDI,1985-06-27 06:31:23.120000000,-92840606
106,Alma546,1823222520,XV4V6QS,1748231916,33,QQY0LI,67639,C7ZZU,2007-05-12 15:00:20.690000000,1115434267
107,Brandie167,-1850005861,5WSMKVS6J9WVZ1QR3,-1862361634,21,OZD0QQGLLJFKH347QKK9,39066,PBIW70W7G9PKX,1958-07-12 10:09:10.310000000,1117142002
108,Julie023,1719975058,2GLTS1,1635350449,60,,35515,R0XJKYOM0PFDXCVGJP7,2015-07-13 13:03:54.260000000,-1310574002
109,Desiree85,803174643,DE8T07YLQJO,619271128,44,H,22154,,2011-12-15 20:13:29.260000000,-95913951
110,Darryl375,-1755404861,YH9Y1DQVEMW5DRHNBJ,-1779415843,51,Z8J70WNVSIWCXZAGL9R,98389,3XOF,1957-08-16 06:48:35.140000000,-1396405297
111,Bryan907,-1509763139,4Q57GJDI2YA9I2,-1574655865,53,BB6LMI8G081R,05374,,1963-02-04 05:06:53.210000000,610695276
112,Kristina344,-1690510187,58TIKG2,-1738079001,33,B0I79LOWKS,40051,WEHU,1992-06-07 09:24:59.900000000,-1173075210
113,Forrest569,491122665,2QI3F8PA967JESASE,272603798,18,6,46092,GF0B9,1961-07-21 18:21:39.790000000,-122877811
114,Benjamin803,1940118874,UNX4DD,1886085194,63,9Q93O,35550,EVO3ATGT3JC,1988-05-24 14:20:14.770000000,-1521415553
115,Molly727,-11671649,QM8UTZV2J3GYGXACN03,-269918710,60,41QO1Y,61343,,2013-06-06 17:07:47.750000000,-1865635661
116,Marla390,-1511031947,I8CY04VME9XD4Z,-1576056084,39,HO7UKH5UM,85956,0CXAN,1962-01-09 02:43:21.550000000,-505443519
117,Dewayne932,-2083621281,MHFG6C,-2042591974,55,,46197,93L5S7IUOXICJ73ACBO,1953-02-10 13:19:43.880000000,1522584154
118,Claude004,333313132,UPTUXRJA93,70092934,42,9BO3,66060,37MV,2007-11-02 23:56:59.050000000,1762812229
119,Joyce907,-1121730215,2LI9AUP48NA53TG,-1308087408,41,RJ8EV8H6X,09674,JFRUDI4C80BTPVV,2018-10-08 02:00:33.560000000,1847198346
120,Ernest367,533557251,NV7KWY0DN556423Z,335222414,27,BMGKCH8O3,94481,YRWK,1987-02-27 09:14:11.630000000,966414821
121,David454,-2120738905,32E,-2113227861,32,,29697,TSMP0MMVZ1HPW8SQ0,1956-07-14 16:41:54.710000000,816524414
122,Lonnie977,-534470390,D7LQ23TKJQ1GJWF1,-779493757,34,P8G1XN,69095,EE0B6RHMFTZ4GP,1956-08-17 11:14:57.630000000,-809441923
123,,1493131501,C4K4M5PJZ,1374732165,46,HTC1,43808,2QM44CWHG8YU3T,2015-09-13 10:56:45.880000000,-97477934
124,Victor98,-1871653293,JABZR20AOMTUV6T3E,-1872669703,18,IZ5SJP960X06ID2MA1NK,40154,21YGI66,1979-07-25 07:27:21.310000000,646653408
125,Benjamin547,-879239129,PL6OYAQXT2R1V72X9A,-1115417718,48,T1ASDYLQO36ALXK6OO,40065,LV8E6TVVLR,1991-03-17 07:37:57.290000000,-1536872730
126,Chrystal845,900068491,QAEILQEOI9EBIQLT,716179156,48,,56587,UI6LVYHWK27W,2012-02-26 17:46:58.120000000,1710429608
127,Bobbi279,1965639071,ZVB08T8YJMQM,1913679246,47,TOS,77949,STQY5073W819,1972-08-09 05:58:40.810000000,-1072956292
128,Betty011,-2000963136,XWJV,-1979257698,58,AIJL46SPGXPXU06Q,71403,Y,1965-07-30 23:02:42.490000000,1143993031
129,Margarita254,-409381023,TA2KXJ,-701168760,29,GCTTWWF,58503,OKDD2,2009-12-18 10:51:51.900000000,607129223
130,Darrin621,-1756614689,8OFQ8BAE,-1780265159,31,FMCOQA593H,17525,Z4WF3H,2018-10-23 00:25:24.390000000,591662888
131,Shawna862,-880171814,YEY7HG6,-1115844100,24,E0L,69393,AMEEYULD2XPLKAYA5CYZ,1975-06-18 00:04:35.770000000,-240826385
132,Tania372,51532389,24N2QBHSN,-214390021,40,BHTN8NCNI8,05602,7ZPU,1962-08-03 11:19:02.910000000,872886821
133,Jodi394,143961350,RJCEYRE04S8ABG84ZIK,-110682199,51,DCZDEM33PKF1QNJOR,40017,OTP,1983-12-23 03:03:25.050000000,-680855303
134,Raquel563,-1928224421,6C4IITW,-1898645594,38,CBNUUIC297,93790,I2I,1986-07-19 01:47:07.420000000,1715888648
135,Mark702,-1619591193,IDYXK9JUB,-1626926219,56,3YU,55246,T9TMB2CCLNOSHE0T,1996-03-01 18:42:17.090000000,1804838515
136,Liza683,16260964,F6SHCDBRT,-245388802,23,JWTAP38BWWX,34128,34I8,1993-09-17 14:39:55.640000000,1585875003
137,Mandi471,1485780513,ULCY7ZVEETV5VVIR,1364939605,58,G3,67750,MPK35RO9EM2DHOGI0V,2008-01-22 00:15:03.530000000,-1338621577
138,Shirley631,515920349,AQ2,305606950,27,PYK56WIIHG1BCW9LLLL6,45545,ELC11CA,1987-05-07 23:14:19.140000000,1323623336
139,Caleb591,-1694427012,D,-1747415692,61,PE2E3,00913,V1FX,1961-09-26 06:06:17.470000000,-982252802
140,,1070662261,F2E,866545354,50,RYWNWZ8IVJTNI0DBTNSV,97864,,2014-07-10 07:03:17.340000000,-976707144
141,Arturo809,-355174391,P0,-641101284,21,NBB9UX8ZJIQ,65866,P,2001-06-09 08:09:09.420000000,-752787279
142,Sherry025,1839471269,6RZOO,1764795641,54,WRKLT4C4DD1SX25DELE,92294,327XLOC,2007-11-14 13:22:37.830000000,-1997873225
143,Renee341,-1619591193,0,-1626926219,60,8K3NKD2,54394,1P4WCC929VUIAOIR,1975-03-01 21:47:29.740000000,666926661
144,Ryan036,-2063148804,,-2023404281,55,ZIC12LM8TQZJGR199JB,21903,YT7,1998-12-01 16:14:39.010000000,-1364986189
145,Kelli800,528847625,KD4FHN,308151299,50,RVKY3,91193,,1988-09-16 06:45:57.940000000,305781928
146,Marcia226,1441685308,AXYKJ01RAHRWVT,1299718026,23,UBOX0G2A4U10PCGWKN,10398,3FR1DF,1987-08-20 05:25:27.080000000,-1916577480
147,Aisha122,825739034,,639079563,39,V6GJTE11,88874,Y1Q,1970-01-21 18:06:42.760000000,335858593
148,Rogelio047,-1655837355,6EOM4566LQUL5OSXCR,-1687095021,65,A4YDXZQBKWPJG5,91595,4ZB8EGISCO437CF,1997-03-05 18:12:20.530000000,466236633
149,Terrence282,-1391070365,4XQF,-1504576974,28,688TZBV,80234,G2MV58CMO,1996-03-03 17:17:06.680000000,485527986
150,Clarence776,-1313020303,6Q8E7544WF7QRUJ53,-1453963993,40,XC8XDRUIYFRZZW,85226,BZU9AU496O6IGIAFM0,1953-10-22 06:42:54.390000000,2072167143
151,Marty368,-1677861435,DTPFV,-1697693729,35,3QM4BOX,60818,,2012-01-21 19:37:45.270000000,1749612805
152,Keri842,-1023019388,IJF43P7FYHGEWSYGMPO,-1210132466,18,E0TCL572ZFT01P1DJQD,66580,KOXUCVEU3VMPJ9,2012-02-29 11:53:50.310000000,1066671925
153,Ramona460,2143017261,H16H8M,2131305739,43,4P6N9,74660,IX3DAZY6QDXM4LPMB,1955-02-17 16:04:09.650000000,-377455248
154,Bridget280,332982851,6CMHRU6VNP0078RR9E48,57958387,57,53D6JMZA,10520,CKM2ZW,2016-04-14 21:08:42.740000000,-2056426519
155,Bradley938,-1871540279,SX7ZQ6LGDYWGO0,-1872297012,59,WKE,77610,F95A2HZ7CRHI,1974-06-10 12:04:10.540000000,-623250871
156,Krystal977,-959527534,C0PKQXAQMPHHP9W33EO,-1160172398,27,DQDRK5VMDO8LKA6,26131,NCLI6HE,1984-11-09 11:38:02.630000000,-1780062520
157,Marcy025,1479847519,EEH0OKEAR3JI,1354031375,62,,47203,99D9A16PIGY6YVP,1971-06-23 03:26:54.440000000,-681417129
158,Angelia162,-1477203135,OF9OKIEH7LA8PV6H,-1570792818,31,U53004,30966,VOVY,1970-08-11 06:05:57.650000000,-1977056921
159,Ben90,639459220,S2Z,488478173,22,TV61RW,51490,ST83O00Y4VIH,2012-05-12 15:04:34.460000000,685240811
160,Brandi104,94623247,OXIOV5I0,-162111441,43,S4H00RXLIDZRE4LYBS,03953,50R1RGSHUAJCOSMTM,1992-04-30 12:44:25,1343524964
161,Marcella057,2021987542,,1988186602,52,32EB8CMOYPYUVH,84625,LGTHG55L05,1987-10-04 09:01:39.870000000,-1607472900
162,Beth436,-1797321915,6Z81TMFIVA,-1830107463,28,FG2A67R9N,44321,ELFPS,2011-12-12 11:06:27.820000000,1509068759
163,Albert772,64467723,7,-184097224,48,09QK7W,00669,P1TWF6,1958-07-27 02:12:02.360000000,-1165257116
164,Andre38,-1464045528,7RZP,-1566000613,31,9F,31165,X,2012-02-22 19:48:04.880000000,-980017521
165,Ruben271,1353141692,SWBGIM0IQZODVG73,1220555673,44,3ET9,83643,ORZ7E5HCW1,2001-02-28 06:43:59.380000000,-223105646
166,Tyson200,-1997755921,9GUCUF97POG4BWWFA8,-1974885317,30,E2ZWJJ3,49312,OKLW5FMRGP3NW,1953-07-04 17:47:50.290000000,914236127
167,Travis001,364447586,6PGM0BWFTIFH0P3IIUU,113672767,47,UO5V1L4CSQL73V3,20461,WSTL5AWJXHEMTRLW9J,1961-06-17 06:21:34.850000000,-642852915
168,Allison380,239790909,H,-17991841,46,S3LFP,53019,G05FXR0,1994-01-02 16:34:32.370000000,1350214488
169,Sarah538,770991785,9TYKDF2RXK84WESTT1Y0,598676169,25,1MTMS4SD46X,03481,6HTL433IC,2011-03-24 19:37:57.690000000,-1878200479
170,Kristi954,2130811253,P96GF7EEKG9,2106725717,55,,91974,QQQF4M,1972-09-20 02:27:52.110000000,-1672333812
171,Jamie770,-816065923,5GNOGYHC,-1049225792,47,W2,70167,HJLV5JGKZG3QCWU5QQ,1972-12-18 02:28:18.030000000,1496419848
172,Janet661,-1868658271,KU9VSPPO1TZGLKJR4X7,-1870082415,45,TNAGAO71KIZ93FYOKEMI,99873,4WAIQ888ISW0WJAF7EO,1984-10-05 14:05:24.740000000,-1099942729
173,Lesley720,-167105316,DC4YJR,-395599090,47,ETZJFMFA3Z7NS9X496D,57990,XC04NZRZRWL0P1I870VM,1999-02-07 17:50:41.570000000,-1515401690
174,Taryn642,-38724819,5,-311610372,56,S1A5J9P88FH9,86464,B,1957-03-31 18:57:16.220000000,1655140597
175,Melisa037,-1169064336,D2HNE4FXKNIOPJMA5,-1355464470,24,YETBWU2RQ,36801,S,2004-09-19 01:05:02.210000000,554481000
176,John739,-1818610701,W3WC0AOO8,-1846526895,44,ISLB50JA79,85628,F772GMR2P4RV5VQH8GM,1967-08-31 03:19:16.890000000,1743136861
177,Audra745,-1100171357,AC0RK,-1293664865,39,9CJU05X71NIX3TV4TCB,19572,WBU1187J23ME827SK,2000-06-17 13:27:27.890000000,1750432622
178,Katrina047,-1504860866,OQIT7F4TJ,-1574327867,57,N2KRDXYJ7P49ZH,12953,B,1969-10-13 18:42:06.870000000,1959996889
179,Troy73,-214733463,OZOSIOE8119016Z,-473346799,34,2AGWO5,30178,TXZXQD1445OUBL5,2009-11-07 00:41:23.370000000,1617701253
180,Bill616,-205554117,WPM8NR,-448777313,42,OT0UHHAW,80512,C608F70MICN3OXWB5D,1956-07-29 02:12:30.210000000,1584748315
181,Christy020,-2081419808,6VVRCCGZ2TQLO0F7MX,-2037742758,26,YVYF7S,38778,ZCXAO62FWFS3M,1995-02-05 23:40:15.360000000,1562019623
182,Antoine0,-399560309,PJ9N,-698916968,47,H27D,23877,4,1994-06-05 11:46:20.290000000,-160508370
183,Tanisha875,-2078818755,BTHJF7,-2036578192,47,,61345,EX2TLXCEDPY,1988-05-28 05:45:35.820000000,977476435
184,Paul272,-1211060191,NWVHXMW2WL267B,-1410293861,54,J8YM4STDGN62D,98247,68DOY86RFVB,2009-02-27 04:08:57.500000000,-1544223550
