Vehicle_Category_Code,Vehicle_Category_Description
-1610459743,Cereals
-1609419469,Cereals
-1599969818,Poultry
-1599162758,Cereals
-1596823287,Cereals
-1595064206,Shell fish
-1594373589,Seafood
-1591245121,Poultry
-1590711316,Meat
-1589510669,Cereals
-1589313791,Snails
-1581982711,Grain
-1581036449,Poultry
-1576056084,Confections
-1574655865,Beverages
-1574327867,Dairy
-1572789129,Produce
-1572005704,Dairy
-1570792818,Grain
-1569846928,Confections
-1566000613,Dairy
-1563694396,Snails
-1562407002,Beverages
-1561596812,Meat
-1558766678,Seafood
-1550061932,Shell fish
-1544708383,Dairy
-1541015215,Confections
-1538532974,Meat
-1537509070,Shell fish
-1534722153,Seafood
-1534447387,Seafood
-1531723886,Meat
-1516702240,Seafood
-1513779467,Produce
-1506347310,Cereals
-1504968068,Beverages
-1504576974,Cereals
-1499794037,Produce
-1497091832,Dairy
-1489160917,Confections
-1484972228,Seafood
-1480039883,Shell fish
-1479455427,Dairy
-1474108025,Snails
-1473120633,Grain
-1460603854,Produce
-1459471242,Cereals
-1458569294,Seafood
-1453963993,Poultry
-1452546500,Confections
-1450438598,Meat
-1447845646,Shell fish
-1445271596,Poultry
-1442580028,Cereals
-1439579241,Seafood
-1435127658,Seafood
-1432514605,Seafood
-1432431843,Confections
-1429675396,Confections
-1427022440,Poultry
-1422860620,Snails
-1420669331,Meat
-1420253598,Meat
-1416015180,Poultry
-1412780771,Snails
-1410440402,Dairy
-1410293861,Produce
-1408731128,Beverages
-1407096950,Meat
-1406742601,Produce
-1400022917,Beverages
-1399084471,Poultry
-1397290311,Seafood
-1395553743,Grain
-1389665982,Dairy
-1379367031,Grain
-1375044448,Shell fish
-1373348366,Confections
-1370657757,Meat
-1355773239,Dairy
-1355464470,Beverages
-1353215362,Meat
-1325591843,Produce
-1325317400,Grain
-1320794275,Cereals
-1320496269,Dairy
-1319239155,Beverages
-1313489890,Cereals
-1312410996,Produce
-1308087408,Grain
-1305283628,Confections
-1304810808,Shell fish
-1298249398,Seafood
-1295189691,Poultry
-1293664865,Confections
-1289847013,Meat
-1288099988,Poultry
-1287052119,Poultry
-1284949860,Dairy
-1277766213,Confections
-1270061433,Meat
-1269839554,Poultry
-1260454926,Poultry
-1251209407,Poultry
-1247183732,Grain
-1247033583,Produce
-1241832513,Beverages
-1237244019,Beverages
-1232172966,Snails
-1221709841,Cereals
-1221559579,Confections
-1219065889,Beverages
-1215129997,Seafood
-1212579510,Shell fish
-1210132466,Beverages
-1204870163,Seafood
-1199579875,Meat
-1198642305,Seafood
-1188006545,Cereals
-1187222691,Confections
-1177762362,
-1175371408,Meat
-1174058938,Dairy
-1173392765,Grain
-1172172242,Meat
-1171539234,Poultry
-1160859560,Beverages
-1160172398,Cereals
-1157203783,Poultry
-1155166477,Shell fish
-1154502563,Cereals
-1154380518,Meat
-1154095260,Confections
-1149760096,Seafood
-1146781307,Shell fish
-1146610248,Produce
-1145613615,Meat
-1143063644,Poultry
-1142155084,Poultry
-1140589489,Cereals
-1136017717,
-1127522890,Snails
-1125108405,Poultry
-1120460668,Meat
-1115844100,Confections
-1115417718,Seafood
-1114404914,Poultry
-1113425745,Meat
-1107084469,Seafood
-1095171196,Poultry
-1089620101,Produce
-1088135982,Confections
-1081957641,Beverages
-1081624426,Grain
-1081414410,Snails
-1080801469,Poultry
-1080605508,Snails
-1070197953,Cereals
-1069242604,Seafood
-1065403027,Confections
-1065225742,Produce
-1060606020,Beverages
-1059841693,Meat
-1052979677,Confections
-1050245492,Beverages
-1049225792,Beverages
-1045438854,Poultry
-1043150880,Beverages
-1042103068,Grain
-1038987035,Beverages
-1037022195,Dairy
-1029298783,Grain
-1029292649,
-997174868,Confections
-993984169,Produce
-993353119,Meat
-992537770,Shell fish
-991728368,Beverages
-983883571,Seafood
-982740358,Shell fish
-977327616,Shell fish
-976762236,Confections
-976630527,Confections
-971771153,Snails
-971125088,Dairy
-968901629,Dairy
-966830482,Seafood
-965413436,Meat
-963479860,Grain
-954723422,Meat
-950776092,Meat
-942991616,Dairy
-941472096,Produce
-930061141,Snails
-928904749,Seafood
-928480336,Beverages
-925698789,Grain
-918500654,Meat
-915201482,Beverages
-910770985,Confections
-904159472,Grain
-901792114,Dairy
-884930298,Cereals
-884470784,Grain
-868267936,Snails
-860740164,Meat
-856943560,Seafood
-852774308,Seafood
-852546935,Seafood
-852474750,Meat
-848516442,Shell fish
-843302146,Poultry
-842339683,Meat
-838812487,Seafood
-837402954,Meat
-827233884,Seafood
-820541346,Seafood
-819421072,Meat
-811946731,Beverages
-811418060,Shell fish
-801619766,Cereals
-794244593,Snails
-788434370,Cereals
-786543432,Poultry
-779493757,Confections
-778086207,Snails
-776451841,Poultry
-773628762,Produce
-772589367,Dairy
-772261305,Poultry
-766946557,Cereals
-766028907,Snails
-763929448,Poultry
-763700878,Seafood
-762216920,
-751123927,Poultry
-748065537,Cereals
-745630748,Seafood
-745447992,Meat
-742762091,Confections
-740674776,Poultry
-737082616,Confections
-734494530,Shell fish
-733804389,Seafood
-733741005,Grain
-718916543,Produce
-715109913,Meat
-713270247,Confections
-712831347,Snails
-711416120,Seafood
-703573728,Grain
-701168760,Grain
-698916968,Poultry
-691931089,Beverages
-690001462,Cereals
-689619677,Poultry
-662553153,Snails
-657685360,Grain
-656473635,Cereals
-653526770,Dairy
-648864624,Snails
-646431983,Shell fish
-643606649,Confections
-643574892,Dairy
-642129229,Meat
-641101284,Beverages
-631986411,Shell fish
-620786912,Shell fish
-618491391,Dairy
-614939043,Beverages
-611564999,Dairy
-610074229,Meat
-609765966,Beverages
-609127365,Dairy
-606496583,
-603003553,Produce
-602081713,Dairy
-588351742,Beverages
-588110536,Shell fish
-584759910,Cereals
-570646268,Confections
-567078018,Snails
-565745165,Confections
-560679022,Dairy
-559228998,Confections
-555599203,Dairy
-552811034,Confections
-547428786,Beverages
-543045435,Poultry
-540054135,Confections
-532332537,Beverages
-532157247,Seafood
-530170370,Dairy
-530130589,Poultry
-524111522,Snails
-519877921,Produce
-519140359,Dairy
-518906519,Confections
-512110782,Shell fish
-511845474,
-506529358,Beverages
-506207257,Confections
-501630696,Seafood
-499365159,Beverages
-497453393,Snails
-497218741,Dairy
-493937386,
-491616871,Meat
-488481830,Cereals
-478542248,Beverages
-473346799,Shell fish
-472775925,Confections
-472543589,Snails
-465971893,Cereals
-449440982,Poultry
-448777313,Dairy
-445828606,Cereals
-442384140,Dairy
-435903440,Meat
-432075295,Produce
-426126813,Cereals
-420509966,Seafood
-415280411,Snails
-414753761,Shell fish
-410072882,Confections
-409564065,Dairy
-406291829,Beverages
-397676457,Seafood
-396316699,Meat
-395599090,Beverages
-390386862,Poultry
-381028534,Produce
-380088625,Meat
-377633326,Beverages
-366308614,Meat
-365207804,Confections
-364828499,Dairy
-358183912,Poultry
-357402314,Grain
-336530624,Dairy
-336467721,Meat
-334816845,Dairy
-328291385,Poultry
-324125655,Seafood
-322596089,Beverages
-318606911,Beverages
-317212194,Poultry
-311610372,Grain
-308042972,Grain
-306250316,Seafood
-305806203,Produce
-284337368,Produce
-275464050,Confections
-270485400,Poultry
-269918710,Dairy
-260605933,Cereals
-255496815,Cereals
-253177562,Snails
-250611966,Grain
-246330672,Confections
-245388802,Meat
-243304424,Produce
-242298508,Meat
-230286429,Seafood
-230083702,Cereals
-224492781,Meat
-223604647,Meat
-220300414,Dairy
-218587064,Confections
-217995033,Shell fish
-214390021,Beverages
-207260726,Confections
-196480514,Confections
-193943320,Seafood
-190294202,Confections
-186121034,Shell fish
-184097224,Cereals
-171023485,Confections
-167886611,Beverages
-165915675,Dairy
-162111441,Meat
-156016343,Snails
-155229198,Poultry
-153266085,Poultry
-153035414,Cereals
-147516848,Cereals
-146267256,Cereals
-143533752,Shell fish
-142902555,Beverages
-142854628,Seafood
-138305131,Shell fish
-133457471,Produce
-131113997,Snails
-125055972,Snails
-122147867,Produce
-110682199,Meat
-108334071,Cereals
-101416655,Confections
-99378795,Dairy
-95298817,Poultry
-90638352,Poultry
-88713879,Dairy
-87949811,Confections
-87743329,Meat
-87536971,Cereals
-59395888,Shell fish
-58771697,Dairy
-58466387,Dairy
-54798953,Confections
-50118912,Confections
-42158501,Meat
-40027757,Meat
-34843680,Meat
-33694051,Shell fish
-31880023,Poultry
-28939336,Seafood
-17991841,Dairy
-14896877,Seafood
-14875580,Grain
-11858629,Beverages
-10747830,Beverages
-6219645,Poultry
2039291,Produce
9809344,Dairy
13039416,Snails
20110061,Beverages
24716264,Grain
29996094,
32774420,Poultry
42432939,Snails
43311441,Seafood
53310034,Poultry
57958387,Grain
70092934,Grain
74538261,Beverages
75365871,Beverages
83980900,Poultry
88473635,Beverages
99346916,Poultry
113672767,Snails
117789091,Beverages
133986446,Cereals
135564808,Cereals
141605714,Dairy
146006146,Shell fish
146783872,Produce
149684639,Produce
153197518,Beverages
155724626,Poultry
169855648,Beverages
193044112,Poultry
197181486,Shell fish
200223009,Seafood
202353938,Cereals
203515793,Shell fish
204420748,Grain
206046573,Grain
206176967,Poultry
209633441,Meat
214462567,Seafood
215209809,Produce
217625467,Grain
217672599,Grain
220836880,Shell fish
227188513,Meat
239321567,Snails
239951679,Meat
244587606,Meat
250309914,Grain
258716389,Snails
259772464,Produce
272301113,Beverages
272518885,Cereals
272603798,Produce
278536092,Beverages
289807303,Dairy
301370691,Dairy
305606950,Snails
306825123,Shell fish
308151299,Shell fish
315571130,Confections
335030430,Seafood
335222414,Meat
340454556,Produce
345346555,Produce
352346035,Snails
359575159,Seafood
361545832,Shell fish
368453203,Grain
378825518,Cereals
383361110,Beverages
384588141,Grain
393141283,Cereals
393664328,
394168294,Confections
395357395,Cereals
396542173,Beverages
400184763,Snails
407679241,Grain
428552612,Cereals
429882759,Dairy
433959733,Cereals
447101959,Grain
449435921,Beverages
450070018,Poultry
454100079,Cereals
464457561,Shell fish
469522126,Snails
484002296,Meat
488478173,Shell fish
490638440,Beverages
503131145,Produce
508145855,Beverages
509925701,Cereals
514898190,Confections
515331052,Seafood
515457573,Meat
525522682,Confections
531968851,Grain
533235980,Produce
535053678,Cereals
539114514,Snails
541861007,Produce
542913092,Meat
550965784,Confections
552782965,Shell fish
557625637,Shell fish
559552287,Shell fish
563268781,Dairy
567499552,Snails
568157212,Cereals
585312482,Poultry
586329250,Cereals
592289344,Poultry
595665104,Shell fish
598519562,Beverages
598676169,Beverages
607847896,Confections
609947927,Snails
612092219,Cereals
614913039,Meat
617107423,Meat
619271128,Beverages
619466532,Grain
627717490,Seafood
628577401,Dairy
629527460,Cereals
632198942,Poultry
637676187,Shell fish
639079563,Meat
656492375,Meat
664766836,Poultry
674998825,Confections
676296679,Meat
681387101,Seafood
682276607,Poultry
686493724,Poultry
687116286,Produce
687354058,Confections
690799628,Shell fish
692553605,Seafood
692840372,Seafood
694987427,Shell fish
700376759,Seafood
702857657,Shell fish
704204274,Seafood
704389697,Meat
706728439,Meat
716179156,Beverages
720611557,Poultry
727393399,Grain
729106826,Poultry
729555835,Shell fish
735126258,Dairy
736306970,Snails
740582697,Dairy
744064005,Beverages
744793460,Produce
747759156,Seafood
748782527,Beverages
753729008,Meat
754048717,Confections
778907053,Seafood
779422898,Beverages
780220077,Shell fish
784593840,Poultry
790092213,Seafood
794498999,Shell fish
794806723,Produce
796329166,Confections
801596149,Seafood
806231039,Seafood
807173799,Cereals
823130537,Produce
823378959,Shell fish
825298512,Beverages
829392536,Produce
829967082,Shell fish
831880125,Confections
837489683,Meat
856158687,Snails
856860639,Dairy
860590466,Seafood
860666714,Grain
861432282,Snails
863276517,Grain
866545354,Cereals
872414060,Snails
889845047,Produce
889860612,Poultry
890983280,Beverages
891780239,Snails
896355354,Meat
899914149,Confections
900173179,Meat
902276276,Shell fish
903086873,Poultry
925703207,Grain
929136741,Meat
933493463,Grain
934388106,Poultry
942418847,Snails
944948687,Produce
949574136,Snails
953263806,Grain
954855688,Produce
962196127,
963497387,Confections
971988468,Dairy
972313388,Dairy
974513893,Cereals
991796222,Shell fish
992120667,Confections
994796845,Grain
1009416910,Beverages
1037897974,Grain
1050580193,Grain
1052317948,Produce
1052761169,Cereals
1055066026,Produce
1058394029,Dairy
1067071842,Produce
1067858296,Seafood
1075163491,Snails
1086463173,Cereals
1087761829,Produce
1098477316,Shell fish
1101585079,Beverages
1106013506,Produce
1109173336,Produce
1112022098,Cereals
1113255642,Shell fish
1117114263,Grain
1120096940,Confections
1137866648,Grain
1144971682,Meat
1145031386,Grain
1146796774,Beverages
1147236912,Produce
1149543275,Snails
1151236821,Confections
1153840380,Seafood
1159460865,Cereals
1167184434,Seafood
1167819786,Confections
1174520923,Produce
1182132930,Meat
1185646187,Snails
1188061047,Cereals
1188946190,Beverages
1189521391,Produce
1196003106,Meat
1196345116,Poultry
1199651656,Snails
1208438630,Meat
1212724138,Seafood
1216425081,Beverages
1220555673,Grain
1222943232,Beverages
1224055792,Snails
1228899896,Dairy
1230002668,Shell fish
1238049084,Produce
1252000710,Seafood
1257678881,Confections
1262799064,Snails
1269198155,Poultry
1272418351,Confections
1275253830,Poultry
1277009665,Poultry
1279385786,Dairy
1289337227,Shell fish
1292308977,Seafood
1294001664,Poultry
1299718026,Meat
1303038603,Cereals
1317436762,Dairy
1320573408,Snails
1322944706,Dairy
1325290814,Snails
1335015379,Shell fish
1336239215,Poultry
1336665675,Meat
1347794708,Produce
1351690905,Poultry
1352572937,Grain
1354031375,Confections
1356048938,Shell fish
1360839111,Dairy
1364843761,Meat
1364939605,Cereals
1365338968,Dairy
1371171140,Produce
1372394078,Cereals
1374732165,Seafood
1377376329,Produce
1378690322,Dairy
1379342355,Dairy
1388301297,Snails
1393900061,Meat
1398641425,Poultry
1398812366,Confections
1404564099,Cereals
1406245458,Cereals
1412084098,Snails
1418428887,Cereals
1424340642,Grain
1440672850,Confections
1454590114,Dairy
1457557625,Produce
1463317491,Beverages
1472157020,Confections
1473189953,Beverages
1474783466,Seafood
1474821652,Meat
1481189952,Meat
1493237593,
1502206978,Meat
1511831015,Meat
1516756502,Produce
1522598977,Beverages
1524602625,Shell fish
1527300446,Confections
1532513256,Cereals
1536744191,Produce
1541111633,Produce
1550050248,Dairy
1550188660,Grain
1551767998,Dairy
1551876507,Confections
1558789544,Seafood
1572124429,Meat
1574036468,Meat
1575614220,Cereals
1578931727,Seafood
1581580268,Seafood
1585156100,Meat
1585685004,Meat
1586651834,Seafood
1587191318,Meat
1588057819,Grain
1595374458,Snails
1599957985,Meat
1610948218,Grain
1635350449,Meat
1636738911,Dairy
1637177831,Shell fish
1642473204,Seafood
1646527742,Poultry
1651055291,Grain
1651465752,Cereals
1652898191,Dairy
1663205734,Poultry
1673597767,Dairy
1677054066,Produce
1679361971,Dairy
1684821823,Dairy
1687558845,Seafood
1687923624,Produce
1693782768,Meat
1706130527,Meat
1708692985,Grain
1710756891,Confections
1713166916,Seafood
1713179600,Dairy
1717275261,Cereals
1726240304,Poultry
1730896592,Cereals
1734331740,Dairy
1736483989,Snails
1738002216,Beverages
1747062718,Grain
1748231916,Produce
1749174578,Beverages
1753324452,Beverages
1758905980,Shell fish
1760985247,Cereals
1764795641,Seafood
1790078213,Confections
1798827882,Shell fish
1814760040,Beverages
1815652416,Seafood
1817514223,Seafood
1821278078,Confections
1821843365,Produce
1822719241,Seafood
1824429491,Beverages
1831395871,Confections
1836182573,Confections
1839573175,Beverages
1842493426,Shell fish
1848290682,Confections
1853245189,Beverages
1853352937,Cereals
1862264369,Seafood
1872383494,Beverages
1884662749,Seafood
1886085194,Beverages
1889516978,Cereals
1893696684,Seafood
1898664097,Beverages
1901384472,Poultry
1913679246,Cereals
1920766129,Grain
1930067957,Dairy
1930962700,Seafood
1936328931,Snails
1944604774,Shell fish
1947585298,Grain
1953358982,Seafood
1963367005,Produce
1975908860,Cereals
1977897211,Snails
1978884807,Produce
1988186602,Beverages
1992311777,Grain
1994930720,Seafood
1995577293,Produce
2000825405,Beverages
2002524382,Grain
2004843870,Shell fish
2006332760,Shell fish
2014151527,Cereals
2014631400,Poultry
2026081371,Shell fish
2026818716,Beverages
2033251512,Dairy
2035168593,Confections
2045175769,Grain
2048530005,Dairy
2051272942,Poultry
2054732148,Cereals
2075818613,Dairy
2076702440,Confections
2078683930,Shell fish
2080436068,Beverages
2081350017,Poultry
2088428986,Meat
2106725717,Snails
2125215074,Cereals
2128870936,Beverages
2131305739,Grain
2138315030,Cereals
2144029462,Beverages
