Car_Id,Car_Manufacturer_Code,Car_Year_of_Manufacture,Other_Car_Details,Model
38,-1769290649,144002104,7O50WEKCHN6EMXKE,Q6V7XABMYO0YEM7PD
39,-2059429161,-914037250,YGN09TV1EA6NOIOUDT,PU460GPWC73ONPYMEX
40,1768983738,-906308847,WGPWTOZVBVF9,D
41,-79654911,-1310580114,WTKD87XV9,W
42,-648115996,59707427,,QHD42
43,-119871014,53292414,4DPS5IJ936,X
44,1349125378,-1653447635,N9KTCAYJ6Z,4UJ962K5EI1Y3
45,1143239188,-935598603,MQUYAL5WINH7SGZ6QTB6,A0AZS79S0
46,-843679043,172777496,DE6BTFVNWQSI3QYX6,S3DONBMZEUYU4FRJ
47,728030408,1619169256,X47OU51RCD38QUSV,RHU
48,-898548069,-648513782,CONG698LWPOPQ08,XN
49,-1237266831,855237208,LD2YPJ192,7CT24Q3BTCG3PVI3
50,-1925889399,1147194488,IJOZXQ7GM9JRRUY2XGC,1K
51,862897917,-1569538007,MCVO5HQWKSNDE4ROXXR,KFWU88CIB5AVF5H
52,1849887771,-1562006958,,IKUNQM0SZOTZ9E
53,1851975822,384322303,9EZZTM80MM,
54,1752969866,-2050987089,WZF6OZUG,CEN
55,-1785818752,-151046686,,GYTVD
56,-1727401965,185001453,WUM5DM3950OEKD,0O1LNKD8
57,1963421434,-1608635364,V,A6XIXF4V
58,-1550177222,-1842362966,BUIWX5,ED8W5GI0H
59,269635031,2084231312,HEOK0X2BY6CKDUGZ4QH,TJQYA
60,530381168,390832672,WIF28SAJ,MCQE09M1TONFWPCC3
61,,-1633994127,HFYOJOYY,GZC3IK2M2ME1J7M
62,1511562130,70929727,97YCFE0DIU,B2DHJ5R73GS34
63,-919979323,356452580,VD5,EHFH
64,1981356778,-368363018,K5YZMC7NJQH,ASIU5CD7ZM
65,-430850703,536863682,EVT5I,5FSK
66,-933226705,-1137592694,MG9NK202UAFPP39I4DPZ,9YMPB8401SYI
67,150076536,1813863833,52KFMXNMIPPCUR,8WM2PCJS8745YS
68,-1930913215,-602269260,6WLWYK,BBDBJD4I
69,1500123514,418969009,X7T0DHVRFG,R61
70,-1751273459,737640416,PGEP8X4CFB,HSDDVWQ
71,-398861707,341867776,QCVCKC7S,52PG0L
72,-1632508705,1622978161,0RM,RHJDGJPPENYX3ESAJAVA
73,516549201,597931693,CLLK6QQ98T5AAGONR,TQA11V58NUJR
74,833045074,2104048395,46BHH51X,RB7TL4S3YQWZMBCS65
75,-1420595264,1268436511,KNNHXT9DN,ALXQ9BEOJGRSF50NH2
76,502057886,169018391,K6PLBHJP19VJ4,ORICU
77,2137087620,-1658634490,ENFTU3FJ876LLC7G030,E2FKSGGPEHHTLYI7F8M7
78,-1935015533,-1824820703,6FEL0ZYFZNO1JL,G
79,1486688546,750503569,AEGIJW1XIFPW6IK9SIS,MOV
80,623706586,-2129920054,Z8,GGDS9
81,2036517379,608857748,TU5,QV8Z4QZB31NITV37HC9
82,58239465,1735429709,,N2X8SW
83,1364838206,1750925044,KI4209X2K,Q
84,287030104,-874136024,HF5HW5A3,
85,777083227,-390850964,XEEWI,1O7QV397BIMVUE6
86,-792024727,-384920330,P31JM,UZL9Y0IKENX067T9BU
87,-126352255,556665885,DWHCZAM,
88,-1256506085,-2052073881,XK,ZA200YA0R2R7I1O1X5QA
89,-1212584544,-143860686,O71CQICOIR,5NB75803ODK0E7TRZLBO
90,-219088824,2063643135,156MMCA6WJXX,RHNGEZI5W3LK0TNQTVP9
91,-2071715708,-1380458106,JN4WVN8UDWQOHDZLPV,2P
92,1383557632,1788388942,WYUC6COAKQOZQAXT2D,74UVAYKELZE5OQQ9
93,1799977353,-2016701304,TVIKO8GY5YB,YS9YFED505
94,37217963,-1500902895,7OT04OBX,MF4OS
95,2122462758,2065124258,6CN3PXZEJ,9A4MVYJ7Y0FH
96,663858763,-1886126893,X7918DE63,24FQYAF9RPGP9SUS6VP
97,2011256541,-1885865686,EJC94,9HF5V2UQRGEYO
98,1190675058,614697547,BW9T5RFVMIV,
99,-328736581,1940691823,ZBGJLEEEXML,L6O6EC5HLOWM5PES5P4
100,1691463615,-591123115,QI775N0,KOAU
101,-1090796439,-905608915,Y8M35QE5RDFP,FP
102,1739249230,235198074,X6S9VXXVQJ,ABH1AP8MIP
103,1676127516,1607187760,BM2MJ7,030UGYFO0CO89J
104,1240584454,1151748666,ZIHHR,IWVT9ZNN796VCGGSA
105,-583401648,996146247,DEVZ8M,F3OKUTWGQO5
106,-2028212897,1806322121,7V4SBFYAP,28I37CQO
107,-1666130260,1131756283,I8OXSINRLKNG71FF2VH,BCFTKA328KKE
108,-19265391,-1961808643,XM4ZHFIAB49G9FY92SL,UGHX
109,-1071332486,1500739982,78,1XT8ZIK7YD8841L03R9
110,-1131661014,243592981,2WQN3CV,AJSD
111,-1613211410,1967012120,2SN4W3PFCZDGH,3K7AE1M9AO
112,247193811,-2096017086,76R26DAALUP012,M3CW
113,-610361960,1614572905,RFXFS,DBQTZGJSRQO85RH5
114,-1779761902,477547186,NMB25CC9VUR5RPJW0,PVYDXKBMYUCT
115,944960744,-700063477,I1S7SEW1MOKKF0O4K,0ECJX81KIN1F
116,645005064,-312148063,G000Y0P0,NDE4I6M6DH
117,-1056175616,-1432725753,U,
118,-1331249610,-1966066029,D6VEQXQDGTW54Q,FR
119,-42890424,1654599550,OAERHN5,70L6ZDQAVMU
120,-686654736,-1232535129,,3V68XXEWX8UB677
121,-1122900825,-424913121,Z6H3RHRH1R8H,XDOHGLC
122,509622926,-2064464755,5O2XQ3,1VF5X2IHNW
123,,-1140731626,KUWAA,B681X1VHY
124,1986930728,386780599,EL6DN87GFKGNM,AZS53DIXDTHIO61H9
125,-1780446836,1876015971,,
126,-1347894703,1994449808,E4CH505QOJW18U4A7SF,QC
127,-1718702431,-1266574545,6BO4Z98Q4MA44O5QJS4,9NWFOCR
128,-1759343962,1605455499,9VHTQ7ZLAA8U6W,K4DCRVN0UP0
129,616309664,-141857265,3F,A31TH2ZFR
130,-1140065943,-448131105,IVSEL19SWJPEQFO3,M
131,1548402393,-1623025630,ATUE,SMQ48NP56X8D4CE6
132,1778824043,-1791293639,AMGT,946
133,-147290235,-1407316404,FX8S1ABA8JV9,SD6M2
134,1210863904,-1588896251,KXBGVVJT624,L
135,630531146,1587146378,ALUPL5XS,BONH5J54JR6ZU
136,499157145,1359427865,TUOQN3F,CUNO5OSLISFIZ
137,555655539,1958138988,FKW0D9GHUQKAK9V36,KH6Q3TU9LVYT82AI
138,1612730543,1896833786,PGKNE,6
139,-1582002794,-44027564,H,F0
140,,-598032888,R3MP,ZESWJQ5U2NJXK2
141,-1882751636,627086490,S3ORI7LXBE8REDI2,GW1I38RP
142,1588929509,1285276241,ZKJWEYLS,GQA0U9MK78HRX
143,1241827207,857401571,ZJKIDU4IS6WHCWLTD,933QTB9BH8WIAUXX
144,1443188276,1662085909,BVZKZP6325BD53YC82D,7OGGTG5ZS1ZPBKTIPSE
145,102663796,-1180687311,1EM,HXE34823CZRNA5A2HQGN
146,589800996,1148210140,LC,R
147,-2105199431,1425037477,,9AL6N3ZK2IWKAADCKD2N
148,1304108057,440586505,2NOY31WAW6FJUB9RZ,ACE6
149,1828152429,1513219437,E0TIZOJGJ1W93YNJ,Q0ZCR2QW4SI2EZC
150,-1343240273,-1085827043,GE78C9S26SIIHRNNP6,O4DK0S4EV9V3
151,711669364,1570575935,DJNZEMHUDN3GWA,ZX70DCYLQRUTD6KT
152,152679147,1040474192,TDSZ1R0GTV1X299L,Z2AEL70L9Y
153,1194065414,-536209561,RC6KSESLVEEE,KG
154,-1641303092,-1086846015,CL89Y9UP5JC2U4DPEK4,6NO4VB20ND
155,-1691645199,667509713,POK4O0ZZD6DL2QJFPSB,YDJQ
156,253065763,-900572685,,LKKEATS
157,608918249,-45884328,OMSTH,EP6
158,-1941503736,-2113717828,,3D20A9O6P1OH
159,-1785818752,-1000147507,FVGUACDN13LYAVC,ZEWLMUHUNCB0
160,-1672629264,-1581860591,,7CUUQ55OW9BSO3UKXKV3
161,576175050,-1510543055,R03LX0M95A12RA61P,BEW7SVOKG1Q082BCUBJC
162,-1777476455,1459893459,IPIBPDVDL,25LTX
163,-2092087265,1671014742,DPVBNM2GUNHVUL51,NAPSG
164,-1995954365,-350017573,LATEWKAU9NGAQQ,1
165,1405328520,-2034361638,FFVFFPE48,YY
166,1933663512,-1444246904,613MV,Y9G3G8K
167,1905197437,-664530249,6,G0J73
168,-2032496150,1179492078,1A3SSG5,CQA89AEU41AQ8A3
169,1494596748,1104419715,HEZM54XX,6DD7D9VMMW02HP32
170,221142447,-415700140,FPPMM65KOPI,J35RNON8
171,-333093905,-475284342,7DP9MPGGNMF9U705,4FTPZAN9U6TWV2VNMC
172,-317803274,-348356185,K2456G8,CCEX74O6YFIOQY9
173,454969427,120893098,1F3Y74QMCA0,FSXXQE8VX8PO1A31BE
174,1792112284,964798012,CIFHGTS9FSE5ZY3,R
175,819272283,672980277,E11XGTL,HMKA3
176,-123529911,-1434309163,CHFIPMHX0V91NMP,TCH3XL
177,-1848646704,-190825652,NY090XZ9038A9,F
178,99198722,-752526904,SJX55ZDAKSAH53O1ZSC,PFJ
179,1930666236,-581273667,9HSC9EI,3
180,-1727401965,-1680743641,HLE6NX3Q4IGP0DE7Y,0YE05OBHC
181,-1360570005,-2016860838,SVLY3GYLTA,1HEY6CMMPFIG5
182,-1916483054,1052232058,LVQG6,33U9
183,1780304173,1498709551,YE3,WUZO6HN5AY1HV
184,1086532207,2021937021,70X,RW3JHOCSX7O0KTMW1T
185,-1519948926,813538302,H,4GH2T8GI6BNOYNCDWZK
186,512645274,-521195652,MNW3KDQLMLIHX8,KZ3WR05XTJDW7
187,279289326,423683801,4SZJMQ9TJFTVOLVN1M5,QN9TAA056H9J
188,1577719392,1517385355,XW76755TLBGGUS,D7GQX
189,-479318918,-224674171,7YEULDUCNQI10RYHVSX,HI5CKAT2JP
190,-1995587589,-444787500,7LSBHKF78YC0WINOMR,XQGJXO3
191,150958558,1531431160,X3KJFO352,O9BFTMN8ASPDSGEQWKB
192,-1480829223,645944253,TLNXOUM,IH7HGJ
193,-1902250116,-175551609,2D0YM3PDI5H49U38Z,I26FJCO88
194,2100370880,-227999322,N1CNEFDKEDP28N0JKEJZ,3CQX2IAUBUHCQNCCE
195,-629207817,1877403322,GU26XOXEZHF,71UYA2454
196,90043249,-152129350,N,50476KT8LRGYX
197,-1633513418,-547741517,KSFYKK2OBOFWT3PA,4P26CI2
198,-1707134890,768629622,O0J77A,Y417B42NTXEYOAPA
199,1196476073,1818227449,GRF6FVA4KGF,5U4RM3946TK0XTL9Y
200,1083248107,1033988596,4FYEE,06Z9O6XYJJZZUZS06NY
201,-1408300186,734773143,IDQ0U,C0S24AHMV3SO
202,-1383884747,-765952442,OPS,9O36V
203,1010300914,441259136,X4ZDI,YTNKP47ZK8WMYBJPZ
204,-1213868337,-250151698,,W4EOB3FRA9LB
205,-1998517939,-1870739285,T5V9FEBCCO,UAHZLP
206,-58888894,-772871417,,2YXBWEYGUC6
207,494628421,30006097,9QL4FPXQGWLIP3J7G,OP9QS9IJ4
208,-2064146170,803516517,285Y59IH2YF,T
209,-1758758692,1269460873,H5OKJ0,E
210,113701645,-1029580988,ZJNL81WJDJCU3,K2BGBXZJBY73SX4
211,-486272871,-253748395,WM,
212,-170769284,-1981001721,ZBKCL,Y
213,370313034,1228185464,,0MYKJPQ35B44ZWMTW4D
214,1204330100,-371404485,YBREGT5,8K5EBJPHLF51VVDNLHRQ
215,896689756,175224153,JVHWENXW8,UU86T865
216,-129406178,1116823387,5XP4BS,8UIWTGHJ9008HQ5384I
217,1457732655,-40690363,JXK7FZDL,
218,-2010042280,-327015082,MX9H3JERB8EZ742ECMG0,FCNFEQW7HBICI6BI
219,1381307603,152058034,U,
220,1075128713,630647711,,X528RQCC423L4N5VTHVG
221,1845017740,520259707,,QKCROIWZJTK
222,2116053483,-1848117268,XWL,2LU66LW21LU3W7U
223,205875633,1556558726,4V3AE00MQLLJX,NDUMIL6LPG28GCL9J
224,2005476822,599620021,3DLB,12BPMWZDD4Q8VH
225,-276018056,1572203234,IT2,QC5ZXRG
226,-1969192266,,XK3SXAO6NTF6C,8GPIOMO0KKK6
227,-766912480,-1585385634,OT31SM1UHZ1WL7,UYRY
228,1579474857,261126250,22J2I6PA,482UHLL
229,752243104,-1532880642,3B1FYQIMQ1WHPG0G,Q0FALKKN2
230,2120005195,-1567842195,233R0OGKKQW4U,WDARO35NABVVEE0
231,-1983643927,211963646,ZIWYGKLWQGE6JB4DM,N8CEZ4X4VOLAZ0
232,896823267,-143758682,L53M6G2NLU,5SPUKDCJ
233,-1265735378,-1219231368,0MIVWXYTHKVQ6,P
234,96135641,995619969,NCU45G73DIO1C,B9P
235,44160766,1613387992,FVTZRJQUWAND5J,M0
236,-1366994543,-291940337,YPFX9J38IFD6W9Z6UK,AWBAO9SG5V0IVO9
237,-448249398,,DMQWYNM,Q3OKGW
238,1446107882,-946792328,GJH,PEP5SNF02K1O3A
239,1008345579,-1497161147,BNZF,3F2
240,153823812,208038439,943S,7GJFT51KZSXGTDMMVZ
241,-1905097560,749930500,NBJECULX4STI6,ZSQVXYTZ5FVZ9HBPT6
242,1813584249,-1222516730,7THANQNP1O,
243,647522250,1439433154,IXT6XQHU1YFCKAR8JFO,0Q
244,-1159567569,-770728110,,F8437AHOY4B2BGLLHZ
245,239742498,1372120511,HG7,W43SOYHOSGW338PBM
246,1047428937,820324327,,ULOO
247,381293438,-1420245121,UF1O,WUXF
248,-1376009752,709712349,,98KHVUUYCFG4QMO7218U
249,1684962071,1141315141,VCUWRQ62BN4JRGW,5ZSMDG7
250,-1144570495,-1664113413,,6YRJGFKVE88DQ
251,614553144,-1909279730,I4,
252,1857467914,916823641,CP81GL75V1SC05H,CPV2ZJUTOKD38SUHE
253,189553235,-1179630297,GVGS8MM6CXFIVUKJ,L5HPK97
254,-1080732766,1784329411,OX64SF5I,CNS0GW6SFXIE8TC42Y
255,-1458474304,870470582,69USJMZOJ01B1P22PJ5O,BB3JQUQ4TON4LUV760O
256,999778245,-340741097,1H9RB7B3NFBA6GD,HXGCXYZESSDML6WS94
257,-2140256541,97652008,KDTJ6BKH9M8323,5PRD4SSXKCM64DULDVQ
258,512672141,-1681762172,ZT,RUBC0B0I
259,2007415231,-1059327553,4SK07,Y3Y1YIEPKCK5
260,-1911613302,-1257740101,OLVKQ1U8PQ46,F26L99RLIWIIABDFCSR
261,907775931,-1431459541,53QXRIPZ71KJB,IM9N45VFVTJ6GQF
262,559825477,-1836079923,FBKQK6FVLFZ,5F2RRTF6FJN70A8
263,-1117575552,1018580154,8S0EB,SVJTSIH3E
264,1856715898,2099086160,P,PPDC1KV49WQ0HO
265,-1723389211,2111216918,ONEVSII,27LHNFLLZDK6MGNXZ
266,1770622954,-922350592,GJA0FKFW4ZK,
267,-1447458440,,XAIAX19XYTPMTNRRXPY2,G4QT3I3BW0BTR
268,1227881871,1852562777,ZE14YBN,VMQAVLQW44DZ
269,-1921132067,-1658408514,39CDPQE53XR8L,D9NMZRN1KG8
270,-1840239434,-1299218114,NTO7RTNZF1I,3EBIL96L6BZQC1DMJZ
271,262349821,1550504175,XVG6YPMKVKD93,G41P18DC
272,-1582002794,-805772620,D,4CB6H5S7EEJU6D92AX9
273,991565837,-1782457958,TS6T2IR,D
274,-1471097486,1085663699,GRJUP4UBUDTIOXY2,IKUS01O997X4HU0S8796
275,-217371186,-1784831552,1L3GE3UF,5GR9QRMRB4EP3UQB
276,-1158588888,508527532,5MUO9E38P76RURP1EQ3V,5RI44B
277,2021996775,1105853498,W,2
278,-1059335576,-970701655,471,F2
279,-1498252505,-1181579818,O,O2O6TC32I9
280,-392200561,1098804205,1OOEO,1IX2IFE09HJ1HO3
281,461834968,846557735,,5U7UCK9M1QIAHN86WHGM
282,1782878404,1423653521,G53EEG7RVU6TDF0C,8ENIET0516HQBY8BE
283,-1057316715,935024340,K38TQ,H
284,-1973264331,-746852959,8HFHNIHC6S,B1SW3IM8D507GTW
285,1230403324,1334338224,K8MPGHP28C,JCXQ9H0K0J5
286,-1561855421,601751181,4B,0UHJYD
287,-1984034780,-200065976,1CXULQEQOUXZY,7L
288,-307196028,-226292296,8EHZ1UURP,EW7SS
289,-2108689573,-1042851328,3LIQH4DC35L6KIL14UJR,5A
290,-621353442,-1078812167,HJ6T,H1RR2ZQZT08VJDX
291,-33673430,631035121,VV2,ING83YOUSY1JHP4E
292,1612568547,93556530,HAMVQZ7N8KH,ANN93
293,-2067846043,-1888090395,VTX2UZEZQ,K7E27DVUJ9K9
294,-1746233685,-1970725073,7Y9M2CWN9IANNBKORLUG,O15JCWY4Y7H4VT49
295,-2067846043,445501386,ZA7LP8R0,9XE8W1
296,-1590209460,-708386565,H3,WHHX3I
297,-2118037586,-1011209464,H3OM4,WFWPP53AD4AL0WY
298,75642602,658304747,V,JQLTZNUZS0GNV
299,-740706197,-788007246,KAZA7,10GXLOY4F3LZ
300,-914058398,-1084429803,LI57S5AE7N10C35ND,AYB0SX4X
301,-1935015533,-1103547657,6X68W1NOYP0OBXEKM8UN,IOA9KXXPOGEY2953B
302,-1118575652,594052393,YF3V0K,EFBH802K1HZOPQH
303,-1519948926,705817889,KRKXXX3AZDM3K46KDJ,HR
304,-1048680677,-1157845939,4MSGXTQC7H3CVH,C317PF5
305,-2145982268,-1285710027,3753RDT3L,M7O5WHOQ
306,-1943682054,920121787,MQ3JSVQCOGHSAN4,U1G96ZWGP0
307,161370054,116681088,KWSW0QM01ZF9RXAJ,NG7SD
308,-412781974,-716573347,7A2MTFMD0603BWHZ,Y5D8L22FFDC
309,-1348265993,1355169329,SXAP8W33,2710Y1GBD534Q0
310,707103665,1794588386,SGGKQ6XL2D,FW50WRGIIDA8
311,-1115880037,-118134238,KRG6J0KMXQ2XA65C8IZD,
312,511684276,626520314,,UQMJ4MSONH6B
313,-1374246981,-1794266363,AM5WFFU5P,3S28HLMMIADGKMOJMOS
314,561331522,708022686,3Y0,XIEHLMDMQ8
315,-1214353625,1043643965,H468CH6SQI6ELTP23Z10,TKODPG5
316,-1910919944,405555735,T0MK4SS09TB,MCRB
317,1440538894,-475059245,4V4CQ1HDIWNQ1T0FM,82K0451TDU5
318,-1537193191,-1029615303,4WZKO3,EKMV80W9
319,792014750,643620788,O7PESGOU7,JWV9Y3H
320,-44040119,-85699201,YLQDXKNXWD,54
321,819972988,1742942717,JA,7Y8J1DIL7UGQISBVI
322,-1724203580,-272121895,CDJP,E
323,1601762137,1116951522,6J70S2TSYQGY,U1UP6PQ51KX7P
324,-2077208519,-346234171,TC,
325,1896289985,1382519946,UWC6CBMRQN5XX1EXYG1Y,FC3TUIA2S35CH
326,-1037557269,894092631,KYA4,7YXQSA5
327,594954577,-1770956394,O7GE,
328,125273969,-1722948062,PYQIH7J1UXFA5XWUXBI0,JCCMCJNW80IEVJF4JU
329,1816722126,-1534605332,SD99X12LMFBB,Z2M0C9IUM
330,1891670876,-1782879561,FY7JXQF,HXO8BSQH75QEVU5T2ROI
331,-584978367,-228756346,61C9TD7XRVXE,6YQ5
332,-587745274,-507744468,XKG8J5HG,XBZDUP1WR3U6KQONCOT
333,-1112700264,-1519066586,H3YIIYNDESK0LCX0,6RVJ6Q53
334,-1122900825,-1294515178,OUNUJEX0HEQAEKYXYJ,AYY29VEIUA1CZ22Z
335,-2002361130,83509595,AAV99EH4TLC7J8E,7Y
336,-2077208519,1112747410,MSDXP1I0JX2,5U9
337,1199815026,546437233,,K
338,-789443067,-586260264,M2NTOPUTLEG293F5,5G
339,-1936092244,-1064382795,72Z4B4LLI9SUPCBHW,64KYPH4V3AU
340,-1793255283,-327797040,IODUJKN0EWVGX3UD,5HDS87OSKAJ791F
341,1299548405,-1940085404,003AX,1IEQY2
342,-376072962,-1013420031,85F1YW25KCWWGSCJEGB,6GEALY3
343,-1212708433,1377904993,PP2CO,X3K0
344,-1903670386,-1317451,,V3CNGOVWKDON2
345,1016857450,-1809749105,MAHTVKN5O3IO3C,TLV4B2U7CTX3
346,-1995954365,-1230271443,A406E,GIM
347,1330080380,-1175981995,DHLMZ7CI,P01TY6Q9A6RL3QMIJA7
348,-445758261,-722555020,3DZKFV3I1BTNNFVS7E,Z8YIORIQDTFEY9ZN0LVE
349,-573600975,-2059075822,,U1W3L82AKA6AK3G2J
350,-603574550,-1296779779,YCILR8TW6WD,6N0WGQCMTRZIYESW57
351,1896006943,-1939264264,ML05PJWV7LZUKX,F2JFFSI93D6IKHGPR5X
352,1083686805,-1962058618,1PUST,5QYEBB2C
353,-1999102897,2084156430,,IOY9
354,-1037557269,1756917223,35RUDT617C4YJ,42M7K4XH99N8E1HO1Q8L
355,230798814,316450205,2EP3NH48CCN1TIS6C4KW,O4
356,-1496670726,850143822,F9ABQPTZ8,44Q6HLO88JCE2JKSNN
357,-632472289,968990441,W0W,PR3W0U2GXPN
358,257099235,774380210,MZQ4B9U,FXI3GDR0OKF0UO3MH6
359,574819,2043453225,E7BZ,Y87ED17PBE4
360,1263757172,1930774698,90Z0EMG,IKFXG
361,-1458631633,1294014144,5FRXRA8,G4FWNS5B2
362,186795333,1216685763,HQ0WV56MZ8NPMV3ZQ1,CRGZRAPV8J429OGLJTW
363,-817182844,-1016392429,Z9UHEG0HK,FRN20201LE91
364,-1198233544,1515293078,,5
365,-621353442,120722006,JYMOWGB2S3TD06YR0,JX5Z8VKOWFEVR
366,-45927828,-1934689073,BS7PQ9UN9LGVNMN,18BFNML3EYP
367,765311123,808861470,OO2,N9T9343BWOEUOKV
368,-1338810970,-916189957,,QMM79LJ5XMAIRFJ79Y7
369,-1621758141,-995363155,,UNC9RGKDUHR3RID
370,-340395460,57550986,OO9G5VTB,BI02
371,1565492851,640251347,O0786ZU8CT8,NCHTK
372,-1377888271,1403382215,PLXF7P7HAO1BP4JG,G47KPDL73
373,-787996022,412428508,4ZUX6SVGDHUUFQ4,CFS16BFV7R82RV
374,-1420307459,-525326516,EY2C0,X4K7
375,252924341,-891820671,5,UG6W38NX1Q6BAH
376,-587745274,937583530,T5ZYWI2G,
377,-847743948,-1475118444,Y8UEAJT2ZU8D,70JCWMMTBDDBSR800SF
378,-135465858,675089430,UYXKB5G,9
379,-1467279132,398080831,97T830SWJUEEGHIAC4,X
380,-1652348859,266947298,9A02X96A10B7,N
381,1036721603,982491774,Z,THLXSAXOP3
382,-1420307459,-806957362,P0056J05F0TY6DG,VE8TDLPVC59H5AI11TB3
383,-1326315485,-89461394,87Q7T84,ODS57DL2
384,-1176197962,767586257,ZX,31405D73VB71
385,1147813352,158719033,RW7MIE,DJZFMA9VVE0E61
386,-1877896707,-570938718,SH96XV85L23AZXKE3,O574TY18D55
387,935040863,-455969710,,TYXZVJC095RQBSH8M4
388,-1077025903,-629130313,RFGW468T897DBK0LZ,YCREP338
389,-1039308161,-318784187,29UZON2TOXS6H,BBMAH5FXXF4UU
390,-1212584544,555992401,NBNRBK5ZO2ZVDORQZC,6IDGS0GTL8J6S1J7VSBZ
391,-400298379,1240587587,00QBSQST,YJH96C
392,-1840239434,-135899334,IB12R2QZX99E83,A7ZQ4BLWC
393,-570491981,-962607270,SZTAE1YY,A7WIPDR
394,-696883470,478338503,LH4W0U0JRTH,CEEPJCJUA8YW7M
395,-2145158974,-1978571327,1X4AYSSQ27RX5,WJD9S2G
396,1848816998,-2074721623,SXIF9JDLG,MV8H33786PY
397,-623893220,1610616650,YTZ28QMEM7R2OZF,Y6K
398,-1144570495,-45112014,57DDP6RH221BKX0,M7A0CX
399,-1348265993,,GVB4SQHCKDB,FOKZYC4Y8WX
400,1520261723,-414164371,,TAVFQ
401,-1632554370,-1843620897,Q9IZ,0S69TOQYPMLSF3PGTT
402,-1495492656,1033721100,D583KR2H06PAUO6BMTOB,38V1RQX1F
403,-1723231357,-2089837619,FP0TCVSPCSI,ERRJX
404,102374413,732798079,KKU7DBJ2APBN9,485VV90NHDGGT
405,-1090796439,-1089585419,MSH3GUOJY,DG1WNV4RFJWNA7BUT8I
406,-1308706110,1545751453,798W9SOD6Y9,K7NY
407,-656176722,2045797322,B38H485PECJS9078CO,T78JDA
408,-565389752,437645302,0LE033N,8DDXQVV17DS
409,136794012,1225138387,I1YH,Y7YSCNJ
410,-1936092244,593297890,9HGDVYQGD82VQF,Y1H6S38TNW728FFX
411,-9107617,1748619432,9LG0IB8,D4Y
412,968995580,-565832022,X35EGGNNFV,GJ6E1ZGUEWWT2
413,193423275,631725654,JRKTCDY7NCC5DN0J,6V64MM2DB6
414,1436276533,-521823433,L,DJS1Y
415,281499838,-702756274,Y,
416,-761118727,-858058902,,LUHIBRR4R
417,-2028212897,-1806211696,ZIAQJ9ZQLMZHVVPR3MK3,
418,-613488786,1734949875,5LYRRGXQ,ZA86X82N8HBB28Z
419,-286703016,328847613,IW8JR1JMUP7XRP5VS4U,NFOTGXC
420,,1471866104,HAEVETXCYSS2ZI439,80OKFDIV25BVI7LJ
421,-1269826007,231670777,3N8GSUWOEVSWY,
422,-1315888055,1447032175,3KK7HC4Y46O1W5,P1AJEAB44O35S2
423,-612812890,-1383195548,9,0
424,-445758261,-800778420,2MF06X1H,X
