Part_Id,Part_name,Number_in_Stock,Other_Part_Details,Car_Id,Parent_Part_id_FK,Part_Level_Code,Part_Manufacturer_Code,Part_Type_Code,Supplier_Id,#Weight,Condition,Mileage_Donor_Vehicle
45,Rebecca,1350831434,AQ8P3UJZ5XA1ST1DXA9G,765,45,1118786246,1173098251,1034261749,765,9LG,,S420A70DY97R5
46,Kimberly07,-1435303583,R3YV5BNKKUDYLC,295,46,-930619022,-833057981,-914878320,295,A8XFGPGYO5CJO2KABR,1QKWGB729YX94C,UDGS1K5U
47,Megan37,-1911915012,NX81QFU0YX,664,47,670981982,711833272,543316771,664,BQE3FEH68QP,L8EMDJ8U4HGYQ3L4N5I,YDYTZBHSF1V1QEXP3S
48,Joey84,497220404,69BTE9,287,48,-972630314,-846414012,-964851305,287,Y692,I6,HNIXBAHQRQVY8Y0
49,Doris565,2082544974,Q,223,49,-1287660242,-1138808334,-1299784507,223,MZJ6SAX6GYA6NXII55,CMYE6GSIJ9D6OVQMQT,MCE02HHRQ9J4YI2YSW
50,Bryce49,2143519141,MATYJWEL2,69,50,-1897945998,-1841792461,-1885319721,69,V5H1ZJ77ZEEC,GE,HFGMIHKP1K3N2
51,Sara,-261873079,27,694,51,778539267,858643491,698721731,694,0GOC7AJFGWZF,,AACPS6
52,Dan6,-1323985029,JP028PVW3ZY,928,52,1865687070,1816153902,1767251481,928,ZLT69T1V6Y4XKML2,GZOU93LHKE410,
53,Nikki3,433740207,5E9QG41UTUD,929,53,1870036822,1823222520,1767301752,929,S,51DBZWPDXX8W,R71QDR8NX6CLJO6PV
54,Charlie56,150264355,9IU08X2UIQPLTC17VM,901,54,1731527137,1719975058,1665994143,901,LU6785BULYF8ILRKLES,S2MQPC9HE,HSF7MMGEO7
55,Marty9,92286790,BVJDI4UMS,94,55,-1810398568,-1755404861,-1790792936,94,LAJUHKEMNYCI4XUCT,MIEYSSRKTP,8ZPDBO
56,Jayson1,682507659,CMOCWSPVUN5W3XFOOW42,107,56,-1777226229,-1690510187,-1744420703,107,K1YYFXQQMCS2,LRI4E2N32RMDKTEX,LR4TGDMXBH6L4NT
57,Melanie25,-1352585927,Z6B,954,57,1984015385,1940118874,1895989931,954,,FPRXRJ,P7QJKFAY21YO6M8
58,Paul705,-1819992233,8P4BWEBAU5319XJCB0Y,149,58,-1561157674,-1511031947,-1546951846,149,5NGABB,TLYW,0X44DOB1KPBZ8332
59,Melody29,-1604720394,ERLYUGXHP6CG,570,59,225639875,333313132,223203330,570,OQO6NL,5CE6C6A4M,QZ5K4O6H6QFF
60,Emma906,-1867046816,AN2KJY9UM9RCN,619,60,403753734,533557251,422445215,619,4,ALEBR05T4EV244Y,R
61,Chadwick868,1398918203,ZKPIY7WNH46H,,61,,,,,RFR7TR7M,T8QAT3RIWE768M3,8YK7IP
62,Angela9,1562670666,GTKNSNNYAGR,851,62,1508172291,1493131501,1431521487,851,L3,25E5,1V
63,Deana,-1781117399,2PKR,282,63,-982316456,-879239129,-974860494,282,Y2UK,FRRNRTIP3,ZU4APZ
64,Roberto6,-71452297,TL71YX0NE8,959,64,2004175446,1965639071,1909975691,959,,982D2EBG6UVEDSZL,V
65,Tera679,-1836828659,N5YD2JT02LY,388,65,-522195153,-409381023,-571816534,388,DGGJ0H,A2ZZQSQDGY,FM2NW8YM6YWLMYM
66,Bryce,1461095025,ZGP4YQ,281,66,-992448228,-880171814,-975592160,281,WA9RSC,298TT6Y,9IVJO
67,Randolph9,-1584731487,IC,532,67,85649564,143961350,72607805,532,L1K,5,Y9V
68,Shannon799,-280768806,ZA,65,68,-1911232108,-1868658271,-1908298326,65,BRUEGUFP8YPNT,1ERO8BO1EZO5B8M,U26HQHJNB25BOZK3O
69,Kari4,-720936929,AEIWK0EE,847,69,1493040208,1485780513,1417052430,847,OWJN48E9,8JFCZLFNEWM1L7T1F99,Z3CVHJFH2CLKNSSQDVF
70,Leo2,1964886509,B4HDPJVJPVUW7L8S,105,70,-1783948734,-1694427012,-1748389937,105,XGXU3996X,8AHH2C,7F1ZNK
71,Shauna20,1801936155,XHP3R5NTR5A3HLKAR4K,402,71,-467767771,-355174391,-490656628,402,H97TY0M3B9,ZYWY07QXFHT9FZ3ABON,YTWYL5VA
72,Mark,-2052870275,K0DMT63,131,72,-1656366929,-1619591193,-1647122249,131,6MG63,76NQ2YYUY1Y,TYKN1
73,Janelle793,-1485423244,O2T93I2WP3K,616,73,390033316,528847625,405751365,616,,MJGPIYLTU9DJMZT,E72QECJYLONZVK2
74,Walter423,-1295797594,,686,74,740020453,825739034,654845223,686,AXWCY18XXIZ,405SFW,8XXGN6DZFRI1X
75,Glenn219,1807303119,KXD,173,75,-1494938493,-1391070365,-1471801323,173,GYSS5CCG3KMH4,SB,BROY0UWW69FV
76,Dennis230,780962583,F7AAMFGN,610,76,372320379,491122665,390729722,610,0SQTHOZTY806I7ZV1I,V19VZDJJMVIERD3TL,9X60QOFQNQKL8T
77,Gary4,-565606366,HW42AK184PC1ZYINK,998,77,2133960538,2143017261,2135400783,998,QUAYEH3,S,BMUH06DVBXK8GBRO1SV
78,Tim80,1193470065,KMS02Z,64,78,-1911289598,-1871540279,-1911919836,64,NCP,4249QXV5UQONEC2JKZ,18RSCHPO13DR0SLJFX
79,Lance53,-1860697512,DYT52MCLX16SMTZWLF8,843,79,1475441474,1479847519,1400208133,843,E7V1F731BDN0JS,ZZ2CX6Q8SPLBX07,4W
80,Seth89,444193237,KF8RN1RV1DHT40XM832,646,80,561348777,639459220,486960930,646,,TWZ51IDOW7VZFBJ8LNS,V26GZEW2JSCP12U15IG
81,Darryl,1125151123,ZF2XCVYVLP6KUXHXP2I,971,81,2041755797,2021987542,2014434433,971,,1P73ZP3G9EQM7A9NKU,U7KS7N
82,Leticia255,-278475970,UHKKKDNMVCOID624DBFR,513,82,20164886,64467723,18760920,513,5H7,HMDGQAQSG5CP983,783XR
83,Ernest426,-946473606,WAB7WZ7JZX6L17HUIDY,814,83,1317617149,1353141692,1275808730,814,4VD9PUCCD,3PW5BEWFHG8S52WOREAH,ZDOMVIASYJKFBQJP
84,Timmy14,-1283914649,BZ81N7OUCJDMQXY7,576,84,237176823,364447586,253377980,576,CG8,9GS8WN,SCN67NID9BOOT
85,Jill5,1598189043,CNDF3WFIXBYKAVY,673,85,697334148,770991785,577619110,673,L,WPHE4A5XNOW3PX,VKG2P5F905X
86,Ismael69,1557642967,JRW1AJPBC6F,302,86,-905110851,-816065923,-881337193,302,,,OZ
87,Damien9,1563344374,JU39AL5PL,466,87,-194312947,-167105316,-212480699,466,5KOXGBD,2XNE9OXVXLBT94W,VW6IVBL31RP68
88,Mia603,328894061,83TI,217,88,-1305297770,-1169064336,-1313597116,217,AEMI8O6566JTMBKVR,RLJSZTOVWZ03,7M353PU
89,Darrin12,763894542,VP92O,231,89,-1248799765,-1100171357,-1243870484,231,G17RM60,7RRA7PA991,OTJ
90,Nora015,816404623,67615XSX22WG,447,90,-264346566,-214733463,-287922325,447,ZWILOJ02FFPU565B,RLHIYCOJRHC3D6A8,I
91,Clayton,331152427,Y3,20,91,-2093362789,-2081419808,-2073581632,20,Q241TZT6SVCZJRFH1P9,SHAOUDQTKJ2EL6H,H9BZI0DEH5Y49H
92,Jordan11,-1300942623,OAOQ8VQIT8SUUL24,817,92,1331360122,1368483207,1283995937,817,KI0TJW4,B0DC6WKAH,AZZ7NTJTQKA
93,Cary213,987096751,4DNX,914,93,1808448852,1768987668,1709021300,914,XIAVVPV4W65XPFVNO,0UOD4WG1GRRJX,18DZXS9LRG
94,Cody,884967514,5OCSIPBNXJMN0ZDX,510,94,6325496,59146735,-23217719,510,,QODSM45BUJ25WW2,N79S4
95,Marcia9,-449932696,AGN7X5Y3G0SORLFAH,994,95,2114907721,2130002708,2124034784,994,WOAC3HWOH81BHXUN8AL,WZ,7
96,Harry6,-1069970277,0DGC166A876K2QUX26,654,96,603386795,677709364,506584891,654,3UWBKVJBW4M,IDV57F5XKPQSR34L,
97,Jasmine,1165013077,Z7IDO1PJY5Y7DJV,968,97,2033403540,2007783763,2004413464,968,5G0GVKESY77N2,JROC6O04AY,DFDTJQVIYFLF
98,Latonya003,1226198311,JPYFH1MWRWWX,773,98,1141399886,1217433345,1075909793,773,O8217L27,KYKUSCFVVJ6DH6LM4RA2,IB5460BZVNU9CZD0
99,Kristine964,937349420,UUJ81HXH0RABN75A0T1,421,99,-372988041,-296888912,-410736429,421,,ALC5,VJLV4MVJF7X
100,Katie07,-144272850,CA73RSYLLMS5SG4B,886,100,1669928105,1661878596,1617331629,886,RYR8XLRDMP50WDSOVSH,UBOV0XG4DL4VZF,NCUB
101,Ted73,1577710095,YC2XWJXN3TTH,256,101,-1083847728,-988311990,-1118204258,256,M,9QXCE7,PXMZQ6MFIRI
102,Roman69,582251764,R3UPQJM,898,102,1723815732,1711829529,1662354304,898,8Z6B8UX19XHYOWS,L2VCZW8AC8PII36ZI,7RHHIK1TC
103,Marcos3,-955964838,H8IBVDZ5J73,883,103,1655005647,1653932924,1606047548,883,VDFU1DFNBO9IPAP2F,WCTZH9RVDIJOZQ2,PALRSE87BZYW9
104,Charity,-1285937011,V1G,786,104,1213374785,1258479193,1148696439,786,PS1MCXFKF,PLZOXK,EG4CYFMUCY7
105,Nora44,1831278508,,353,105,-683592181,-563344214,-696324505,353,IYPVWPW4HS7VKI0J,28,FA5RTH3C8CD
106,Corey,976181011,FQAGNY54ZUOB2QL,34,106,-2023572606,-2000963136,-2037345069,34,ECZ7FJ57,5H,
107,Julio92,-353236186,YH3JM1,122,107,-1697583596,-1639914059,-1676896453,122,491HEGY74DZDM0DLKMBU,K,87BGIMBH232F
108,Duane,623121406,YIKMQMQPMVFASCZT9,497,108,-36624025,16260964,-75217844,497,IMSB08G03EJOWKN2,QE3HVCLLML4IQQO8ZFU,VWQVYN
109,Tera15,36043287,7VIAUGGI5WKDF,262,109,-1070428146,-966209408,-1080171335,262,,K0UBBGQRL3AZ,CYX1J6GSW
110,Bennie56,1632097996,ELBX3CE,243,110,-1178966944,-1047820517,-1180374236,243,QWDEMK7SCLMV,FS9,125YP8BETCWYD63C
111,Javier62,494449912,851FNFSCZNT,134,111,-1626147587,-1593552112,-1624097179,134,U,87,M7LDEQG1A99WC5JKV1
112,Sandra81,-1406734120,E5MNO358HT49GRV70,560,112,182434601,300443630,189159771,560,,40C2T25BJN6226,
113,Levi47,2114321464,PXYQND9ET1PSXXJ899YO,342,113,-752628504,-623154397,-723024619,342,SMN96D8I61YGO,QKS6FMUZIB,R5NFG4ANEKQY63U
114,Salvatore76,-977984647,076ZE1SYVJKCXYW,98,114,-1804743911,-1730327052,-1773949842,98,FPIK8,PBYFCQ7J9KNRI9AF7X,BTNBOWFY
115,Dustin,-436982715,NI9E994IPW7Q7HM8,711,115,916250943,931175861,783785351,711,XU4Z738V,7,HH7DDI532CHJ6W9GTNP
116,Chandra4,1393227040,SPPSR8CHGYH5G,652,116,601138609,670624724,504937434,652,D7I,MX,BQ9BY91DN
117,Jasmine05,-327651369,,265,117,-1063340482,-950857583,-1056943976,265,B4Y0TT,O32SO90TRODUD4AFVJW,UPPDZN39
118,Omar05,-1636749854,,196,118,-1413763641,-1226525441,-1376645605,196,IE6CO3J2WV3AN9FXHN12,2,2LU3QC04XEVV9PFQR8WE
119,Wendy,-1603727017,1MQPAZQ,492,119,-55617285,-11386545,-97392808,492,CNSUGRDMGOPR82IOS,9W46,GRFHHRUTWMDJMMXGMI
120,Nicole4,-514739666,N9IT2QDWBZ587EV9XX,320,120,-840958222,-731415551,-783646876,320,4K6ZYAWUFW7HCR,2L382DVQ,X
121,Pedro622,-1620843929,BMD,245,121,-1167230577,-1039714723,-1173287336,245,U5QDH,NFU0JTZUVG13MHC,3ZRPL09M8F6VWMTEM
122,Terra404,-1888247701,X835VVJ2TYL4HPI,611,122,373731391,493822554,392617544,611,C5GF6EJE6W8ODXHY,Q0ZWU6NINY8OF,L5A0RICM3HA5PYH
123,Kristen45,1859479530,PKKTGTQFNQGR,,123,,,,,PIXLBGEZCX0DW,GHD1SGPWE8SE1O,C
124,Rex37,1345543581,6FGA0KLYKI1SX,962,124,2023197027,1981279674,1919264929,962,BA2R,IF3RVCDWUEHRCCKLBE,NRWR
125,Alfonso230,387491267,AL9EJEI4R2KS3,97,125,-1807072911,-1736786766,-1785507675,97,QJRVDF90YSZU,ZKQLPWNTL,6O76OQ04
126,Rex5,428906958,NI5ERPMI5U,191,126,-1429304395,-1268329048,-1395246390,191,WS1UJM1P1GUGJ1A,3F4ZD,Z9CRU389CYXSC3P8DY91
127,Clint,-2096544823,5XF42J0IHFU,111,127,-1743598452,-1679511232,-1719886387,111,XDB538UXMK62GG6C3R,J5WKZ3LIMBODKTNG0,UBUK3
128,Belinda520,-1759039550,CXDU1OEQ7H2B2,102,128,-1794984554,-1703645228,-1759120688,102,,OKRUEV8IR5R,KCOW2D95FLQ39J
129,Adrian,-179880311,M08PRGFXEH2ZO,643,129,531411739,625312065,480971605,643,4QGQGQPO2W,,FYUTULHXARQ3
130,Micheal,-803657211,J9M3T5THE,242,130,-1186511892,-1055662256,-1180804470,242,TEZW1EOP5NX3,SZ61GFULWZ7YE,5XH6RRNXO2UF2X9
131,,1954947509,LUQ,860,131,1538694806,1551165307,1500121839,860,ZFZ8K9IDRJ5CHMVE,A9S2MFOASDOQ1CGB,NV0HCFD
132,Helen5,-612926275,8NU42PX0ARNDYEIVS2,908,132,1750125641,1739220708,1690694684,908,JR07QS3KFSODL,RMYWEDS715V,R8Q2EE4B9Y0H3JCHVHRV
133,Amanda,-1764633859,,461,133,-205506978,-184715130,-239959748,461,7N7,LKVZ,
134,Alma,1061121927,6Y,779,134,1178203171,1246703770,1110600387,779,0RH4,X8Z24KO,SN8ANWQLXPKH
135,Kathryn184,-2035434381,ZH,648,135,574871877,655131346,491879464,648,E21,6TCPEI4KJF,I0LIAYI54XRJ
136,Bobby,1630412622,J,609,136,370643584,489697625,389015930,609,TJ,FBVWZVK9TI7STR,IILVOH0DG2U3Q7LO1A
137,Stacy71,440515450,LE4WPAORNXXZLIZUFF,624,137,420553650,543465385,441256320,624,STAS36318,E8CDN2AF7JFIN,M
138,Vincent,-713816037,EZJ1IUVXARUN55TFW,874,138,1603764383,1620460139,1577776872,874,WO5HUZ6,R814JJC,UGAYHXH8NQGRJE8Z21
139,Ebony7,2118591680,QONQQ8V,138,139,-1607514400,-1569726688,-1598850222,138,YP9VUN,CZ7JBVYZ0JY04W76S95,G11YREJQXG2MUXZO1BW
140,Joshua798,-1198016266,09OY1K2Q541CL1UDD,,140,,,,,FY,NC,KJ4SBEC7TCOY9V52
141,Garrett56,660803266,,84,141,-1833067787,-1771948201,-1822383669,84,5PW91V0,DXM1A5O97,IIKX
142,Leslie40,-165240434,ARTS,867,142,1574676480,1580986850,1545472142,867,2TQ,CVC53RFG8JWKMIU0VCAE,JSL4LTKP6O5UIXX8
143,Erich31,1582520502,36ORJO9B6DUL9CQALF0,787,143,1215130368,1261640307,1155226408,787,K6JCVSYCK2V6VTAWYNVN,E0FULOTOTCA,D1CWKR4
144,Jose44,-1381157847,DJ1OU9,830,144,1410571639,1440060682,1333996278,830,GVJQMNAHZWDYX52B,ZR0V0,ZRWVISC9CZC77
145,Elijah60,1098842908,RFKD7HLUVWB6G,523,145,49119779,115054620,57561045,523,R3HL22TQD7,IPFFTN,IN36
146,Alexis,-712141341,Q5,635,146,493407702,586265889,460037322,635,3VFX3S3A,B37A,SEC75KV5ILAZ0HRM1NUO
147,Celeste,1874274031,78419IPCS4PJ4ZW9,10,147,-2125509633,-2115733450,-2100127935,10,,CYSKXVWBH2MSE6M,TL
148,,-394184383,HWM0M4OHVE98JT,801,148,1261948246,1312550664,1214007099,801,85OVK5I8,,XK0FKIPSERBYMKRBN
149,Angelina,-1369615905,ETHL5BI,922,149,1850200547,1791823332,1735382257,922,N,MRU,TN20BQF
150,Toni93,1969888879,V,193,150,-1424871350,-1244428656,-1382553044,193,KGVS6METP09FOD3H,UNSO1Z6S1ALLDK0BYF,GZ9H4ZS7AKJFKZWHK
151,Jody106,-767558701,ECVBQWEX5DUJ8K4GJD4F,662,151,664274555,703150432,542086687,662,U52SCWJXTQH,5YP,5TZHVI09ZY3X9A0
152,Cesar2,1899845408,8B24BIB30ZZQZ8RS65,535,152,90096796,154717395,83856538,535,B,F3M0M0ZOCC5FP63I,1PJWNC5F96S7
153,Leigh5,656613344,VAEFTVKWGP,774,153,1143858727,1218389007,1084393026,774,FJEIFJ4W5P,,UQKF3KM7Z4RHUZU4CB8F
154,Jami,-1689062504,4SGV,126,154,-1677875307,-1632598579,-1669451997,126,ALZQZHGO2D,496H0E,X7YOLTNK8OPT757IH
155,Kathryn,-1390764147,1T6ED2T4DUS8CDNC8,120,155,-1709042514,-1647109242,-1688342451,120,LE8J,6BU,PE72KRFTCAAWVJRUW
156,Judy,1894729975,JTUV99Q,563,156,192662414,305037939,199750596,563,UDVWWDITVAVOY,WP65FCLEZKR1L8984,MRHRYMQF1
157,Yvonne228,621706999,UD8V6A32,641,157,525705412,611101301,469183337,641,YZDA1BJ7T91884,5UXVGUF0Y375FP,MUNMU5J
158,Joshua,436298366,Z0Q3TG,59,158,-1921623088,-1918179437,-1931535285,59,YZ9W6AJ,IFNY99TI3Z4C8L8R6P,ZUM68SHC9BT52D8OWQOY
159,Suzanne9,567964876,1Y2CJ32FV5W2B6J,94,159,-1810398568,-1755404861,-1790792936,94,SLW35UOLSPREU84,50,KC5QS6HNO2P0
160,Christie,-384814193,OR,121,160,-1706161736,-1644553773,-1677918686,121,7SNJMUN5D7XBMRR0,19BPFEH7T42W3TL,V2WFI
161,Adam9,-412287797,FWINI5AONCIIQCKT,631,161,466378199,565580096,453072801,631,OKP58EC4O9IG,V1CBTVBI7FQB1FJ,9LDFLV
162,Duane129,-691478114,7E2RBSZ1E1QJF3,100,162,-1801089222,-1711583727,-1765204870,100,SPV2O,48DEMKUE0,9MYP4HKM
163,Sheri6,-1166442069,BL1DJAK79FE2DM6PRC9,13,163,-2104631136,-2110440601,-2094374554,13,MZNXXRPYXDZ0,6,IHGGLZPL935B
164,Cecilia,1926288955,9PG43I,46,164,-1988531212,-1957197302,-2005277878,46,R,ABHE5WUTTOF5XTIZO55E,5RG8YOT7WJ
165,Tammi,-1036265374,43K479G,824,165,1384210499,1388727981,1304252706,824,,IRUF7MA7X,6WV
166,Doris91,1437259127,5B7A0N7SCWQLE7CY,952,166,1970409919,1928601091,1891227217,952,OE2YEAEYL4ONF7GK2E,XPB7VYB65KPPGT,YX8F4G
167,Frederick,2144773441,6ERM4W90NF3OA6TWF,946,167,1936752150,1915806789,1874064594,946,F0MSDIGEQO8KP,GT2UQVRRFRJMZYAJ,FY13AWR6H
168,Lillian360,-1665565788,,32,168,-2030587635,-2010821971,-2042432605,32,N1G0Q,WDIGMLM,9RG69
169,Patrick,-1585310391,DK2812W47DW8WQLY1UOK,845,169,1487324876,1480546123,1410999163,845,,DZ0TUSA17QT8C7F5XVGC,IW
170,Sophia9,-1788310696,FX9C7341PWPY7ZE4XDPP,552,170,161263722,238584525,142609055,552,KPBS22JPXFXJEK,B7V03T3ASU7GTC,7MXM
171,Louis,1869553879,,419,171,-382844840,-299396667,-416743116,419,1MOFYWN9DKZWR6ZJCE,QY,O30MBVP71LCH6UE
172,Alex0,-1127274338,V3FJD3,422,172,-366378867,-293731278,-393551680,422,UBAZAGWPT9A0B5JZTCA0,Z8KR8GB9,F
173,Curtis,-23665515,5Y8VZYMSWTYS2H,601,173,341854272,455059723,351061347,601,XGY835RIXVL,XCIQ59,13X5FI
174,Eileen596,1309780397,79OR7T3HZV1,913,174,1799969243,1768511931,1707115636,913,CQTQNDZ16UZ2JOR876,1S5SRZ,1PJB8X
175,Rochelle44,1128823309,26XOQ,681,175,712757581,807199102,625305181,681,2DLXUCQ7A56VEPVY,RFVMSJUKEZAG3RKY,CRF6W5VM01
176,Joel407,-319673743,QJYG370RC1JQWX7EV5UL,467,176,-189076707,-163758627,-211404529,467,Q96ZAZ82HWPF,PT45X93163B3,UURPO
177,Kim,-1683582463,H2,87,177,-1830344047,-1768201111,-1808083913,87,IBRNIRRTYEW5,6T01SCCU,VSWVICJOIW
178,Craig365,1801229742,9ZY8KMZ58RC,520,178,43969642,103395780,41807741,520,W0YKCN,QUDYJGO6YH,56WSOU4EF709UF2
179,Tia2,1011228095,I,950,179,1954804603,1924073615,1890132202,950,CIYZ8,Q2X,EK
